Frame Number,Object,Confidence Score
3,giraffe,0.17822848
3,chair,0.17808567
3,car,0.17762007
3,bench,0.17704031
3,bottle,0.17665456
3,giraffe,0.17635185
3,horse,0.17603797
3,bottle,0.17536776
3,chair,0.17327921
3,handbag,0.17225991
3,giraffe,0.17107439
3,person,0.17078896
3,bottle,0.17048654
3,horse,0.17045067
4,person,0.70101196
4,person,0.65909797
4,giraffe,0.580684
4,person,0.485809
4,person,0.4835402
4,person,0.48311463
4,giraffe,0.46212634
4,giraffe,0.42989466
4,person,0.40949902
4,person,0.39922678
4,person,0.39547753
4,person,0.39425737
4,person,0.3933892
4,person,0.379158
4,horse,0.37374327
4,person,0.36534515
4,giraffe,0.36241332
4,person,0.35455292
4,person,0.33689728
4,person,0.3287229
4,person,0.3099989
4,person,0.30963558
4,person,0.29130602
4,horse,0.29074767
4,dog,0.2878767
4,person,0.28744435
4,person,0.28615263
4,cell phone,0.27942216
4,person,0.27570972
4,horse,0.26743582
4,giraffe,0.26491365
4,person,0.25816637
4,cell phone,0.25579673
4,person,0.2534178
4,giraffe,0.25099632
4,horse,0.24414296
4,giraffe,0.24193023
4,bench,0.2397218
4,giraffe,0.23779522
4,person,0.23622844
4,person,0.23083249
4,person,0.23036313
4,handbag,0.22926423
4,cow,0.22448546
4,handbag,0.22113062
4,handbag,0.22094314
4,giraffe,0.21789782
4,person,0.21732673
4,horse,0.21578786
4,bench,0.21380112
4,handbag,0.21223313
4,bench,0.21202686
4,bench,0.2068481
4,person,0.2048514
4,potted plant,0.20441207
4,person,0.20281255
4,giraffe,0.20211118
4,cow,0.19993256
4,cow,0.1997652
4,person,0.19931442
4,car,0.19808576
4,person,0.19735882
4,dog,0.19679512
4,dog,0.18582314
4,bench,0.18546815
4,dog,0.18413198
4,person,0.18395722
4,handbag,0.18393196
4,horse,0.18321605
4,person,0.18171982
4,handbag,0.18138823
4,potted plant,0.17911789
4,person,0.17864086
4,sink,0.17839628
4,bench,0.17813118
4,potted plant,0.17731091
4,giraffe,0.17621443
4,giraffe,0.17558749
4,horse,0.174706
4,dog,0.17454919
4,horse,0.17355908
4,person,0.17344141
4,chair,0.17105892
4,person,0.17083976
4,horse,0.17068778
4,potted plant,0.17057006
4,bicycle,0.17053194
4,handbag,0.16940935
4,bench,0.16819623
4,truck,0.16516872
4,person,0.1615048
4,remote,0.1610102
4,elephant,0.1609304
4,elephant,0.16029441
4,person,0.16009615
4,train,0.1596664
4,cat,0.15892795
4,handbag,0.15825103
4,cow,0.15802817
4,bench,0.15797834
5,person,0.7556744
5,person,0.67649513
5,giraffe,0.5722604
5,person,0.5473211
5,person,0.5222148
5,person,0.5202951
5,giraffe,0.50885504
5,person,0.5061858
5,giraffe,0.5004125
5,person,0.4910246
5,person,0.48327285
5,person,0.44534114
5,giraffe,0.43579248
5,person,0.4228718
5,person,0.42134106
5,person,0.41624922
5,person,0.41349548
5,horse,0.40919432
5,person,0.32533595
5,person,0.3175274
5,person,0.30516014
5,person,0.30333722
5,horse,0.29989293
5,person,0.2977685
5,handbag,0.28824612
5,handbag,0.28725865
5,person,0.28426272
5,handbag,0.2803177
5,person,0.2784119
5,person,0.27716962
5,person,0.2752897
5,person,0.2718214
5,bench,0.26918337
5,cell phone,0.2654508
5,giraffe,0.26415595
5,person,0.2609041
5,cell phone,0.25619435
5,potted plant,0.2555254
5,person,0.2526848
5,skateboard,0.2524793
5,giraffe,0.24724033
5,horse,0.24291806
5,potted plant,0.23412676
5,potted plant,0.23377158
5,handbag,0.23270333
5,cow,0.23234276
5,handbag,0.22977349
5,person,0.2291574
5,dog,0.22909638
5,giraffe,0.22654493
5,person,0.22609001
5,person,0.22522497
5,handbag,0.22465315
5,person,0.2214399
5,person,0.21819645
5,horse,0.21772702
5,potted plant,0.21762286
5,giraffe,0.21755971
5,horse,0.21485998
5,horse,0.21212357
5,person,0.21065542
5,bicycle,0.20988269
5,potted plant,0.20958582
5,person,0.2091362
5,dog,0.2086515
5,bench,0.20843622
5,cow,0.20511337
5,handbag,0.20276746
5,horse,0.20031151
5,handbag,0.19944748
5,handbag,0.19931197
5,horse,0.19777101
5,handbag,0.19652398
5,handbag,0.19637667
5,dog,0.19533247
5,skateboard,0.19505873
5,horse,0.1942789
5,person,0.1897346
5,handbag,0.18961653
5,potted plant,0.18759844
5,bench,0.18602084
5,skateboard,0.1857172
5,handbag,0.18288511
5,person,0.18272077
5,remote,0.18240637
5,car,0.1823692
5,person,0.18167335
5,handbag,0.1800039
5,bench,0.1776599
5,cow,0.17659976
5,bottle,0.17617625
5,person,0.17459825
5,truck,0.17302541
5,chair,0.17160064
5,train,0.17132801
5,backpack,0.17095709
5,person,0.16963257
5,skateboard,0.16947402
5,handbag,0.1691313
5,cup,0.16909702
6,person,0.75795233
6,person,0.6732382
6,giraffe,0.57640296
6,person,0.54958653
6,person,0.5165141
6,person,0.5141091
6,giraffe,0.5079548
6,giraffe,0.5064651
6,person,0.49898872
6,person,0.48396745
6,person,0.46871147
6,person,0.442098
6,giraffe,0.43756828
6,person,0.41807473
6,horse,0.41553965
6,person,0.41493657
6,person,0.41270527
6,person,0.41159996
6,person,0.32286263
6,person,0.30965227
6,person,0.30193037
6,horse,0.3008905
6,person,0.29998115
6,person,0.2986621
6,person,0.29059008
6,handbag,0.28477126
6,handbag,0.28429422
6,handbag,0.2801639
6,person,0.27891424
6,person,0.27855575
6,giraffe,0.27709523
6,person,0.27549627
6,person,0.26705793
6,bench,0.26582807
6,cell phone,0.26200247
6,potted plant,0.2614371
6,person,0.260693
6,person,0.2534731
6,cell phone,0.2528338
6,giraffe,0.25127727
6,skateboard,0.24871145
6,horse,0.24236257
6,giraffe,0.23675431
6,cow,0.23483007
6,dog,0.23335618
6,handbag,0.22987098
6,person,0.22944373
6,handbag,0.22877993
6,potted plant,0.22618058
6,person,0.22560033
6,potted plant,0.22546862
6,horse,0.22519203
6,person,0.22478005
6,handbag,0.22366884
6,potted plant,0.2226849
6,horse,0.22190389
6,giraffe,0.21888883
6,horse,0.21825165
6,person,0.21658333
6,dog,0.21476845
6,bench,0.21394962
6,person,0.21201898
6,cow,0.21126856
6,bicycle,0.20748594
6,potted plant,0.20624422
6,handbag,0.20517112
6,handbag,0.20416972
6,person,0.20388135
6,horse,0.20316038
6,person,0.19924058
6,handbag,0.19920969
6,horse,0.19853356
6,dog,0.19711754
