Frame,Object,Confidence
1,chair,0.9964689
1,potted plant,0.99297065
1,chair,0.99159664
1,potted plant,0.97649103
1,chair,0.96508735
1,potted plant,0.9640808
1,chair,0.9142351
1,potted plant,0.91253483
1,potted plant,0.91107684
1,potted plant,0.8795929
1,potted plant,0.8750161
1,potted plant,0.84521997
1,dining table,0.8060428
1,chair,0.70808864
1,book,0.7077265
1,book,0.6952784
1,book,0.68129146
1,book,0.66363186
1,book,0.65304524
1,book,0.6527966
1,couch,0.6524401
1,vase,0.6478489
1,book,0.6316228
1,book,0.6249929
1,vase,0.58080304
1,book,0.56277126
1,dining table,0.5598049
1,book,0.53823906
1,book,0.5373137
1,vase,0.5230236
1,vase,0.5179882
1,vase,0.48003525
1,book,0.4778034
1,book,0.45467794
1,book,0.44600892
1,book,0.43757185
1,book,0.43252903
1,book,0.41351584
1,chair,0.41068324
1,book,0.40765995
1,book,0.39421508
1,chair,0.3787163
1,vase,0.37629253
1,book,0.367129
1,book,0.36594835
1,book,0.36287925
1,book,0.35858905
1,couch,0.35289118
1,book,0.35074225
1,dining table,0.34558648
1,book,0.34222388
1,book,0.3410375
1,book,0.33496088
1,book,0.33469278
1,book,0.33158755
1,vase,0.31822953
1,book,0.3145438
1,chair,0.31408873
1,book,0.30646127
1,vase,0.29934144
1,book,0.296716
1,book,0.29654345
1,book,0.29650512
1,book,0.29285857
1,book,0.28976315
1,chair,0.28741708
1,potted plant,0.28696987
1,book,0.28338322
1,book,0.2799469
1,potted plant,0.2752132
1,keyboard,0.26802576
1,book,0.2678875
1,book,0.265317
1,chair,0.260532
1,book,0.2598101
1,book,0.251596
1,vase,0.24986048
1,book,0.24808766
1,bowl,0.24189621
1,couch,0.2343652
1,vase,0.2267132
1,chair,0.21766151
1,sink,0.21458103
1,book,0.20806652
1,book,0.20654187
1,bowl,0.20470755
1,couch,0.19798408
1,bottle,0.19529155
1,potted plant,0.1847241
1,book,0.1816922
1,couch,0.18032083
1,book,0.1784068
1,potted plant,0.17519663
1,vase,0.17478374
1,book,0.1717238
1,potted plant,0.17080148
1,book,0.16945794
1,chair,0.16730939
1,potted plant,0.1501781
1,dining table,0.14524522
2,chair,0.99599385
2,chair,0.9904806
2,potted plant,0.98995894
2,chair,0.9837946
2,potted plant,0.98087126
2,potted plant,0.974812
2,potted plant,0.91817355
2,potted plant,0.90234286
2,potted plant,0.89431524
2,potted plant,0.848712
2,dining table,0.7919168
2,potted plant,0.7687313
2,book,0.7527932
2,chair,0.73920566
2,vase,0.7348426
2,dining table,0.7071669
2,book,0.6822648
2,book,0.6748862
2,book,0.6587393
2,book,0.6351685
2,vase,0.62779874
2,book,0.61274976
2,book,0.5998985
2,book,0.58127683
2,potted plant,0.5433455
2,vase,0.5393358
2,vase,0.52669656
2,couch,0.52315897
2,book,0.5140383
2,chair,0.51283664
2,book,0.49723193
2,chair,0.4926764
2,book,0.4778092
2,book,0.46564043
2,book,0.44419682
2,book,0.4345194
2,book,0.42631525
2,book,0.42105788
2,book,0.413895
2,book,0.40801296
2,book,0.3981401
2,chair,0.39329532
2,book,0.39124674
2,book,0.38868678
2,book,0.38851455
2,book,0.38204062
2,book,0.3793327
