Frame Number,Object,Confidence Score
1,book,0.67881685
1,book,0.6671228
1,book,0.6329371
1,book,0.5653812
1,couch,0.55121595
1,chair,0.5138123
1,book,0.48572862
1,book,0.4837268
1,book,0.47772026
1,book,0.46041358
1,book,0.44461122
1,book,0.44022083
1,chair,0.43429857
1,chair,0.43138498
1,book,0.4302451
1,book,0.42698377
1,book,0.41065374
1,book,0.40137595
1,book,0.3875024
1,book,0.38106972
1,chair,0.37958038
1,book,0.35835055
1,bottle,0.35740194
1,bench,0.35353112
1,book,0.35228223
1,chair,0.35226455
1,couch,0.3440667
1,couch,0.3327681
1,clock,0.32665208
1,book,0.32522157
1,book,0.3087711
1,bottle,0.3084387
1,book,0.30235586
1,book,0.29981944
1,book,0.299151
1,book,0.288423
1,book,0.2800919
1,book,0.27928856
1,bench,0.2788413
1,book,0.2716629
1,chair,0.2711107
1,book,0.26857543
1,book,0.26780927
1,book,0.26728442
1,bottle,0.26683617
1,book,0.26671794
1,book,0.26505172
1,book,0.26205513
1,bottle,0.25914612
1,book,0.25789684
1,couch,0.25619993
1,cup,0.25501272
1,cup,0.24838443
1,book,0.24638174
1,book,0.24601789
1,bench,0.24531835
1,book,0.24526384
1,book,0.24401504
1,book,0.24143018
1,book,0.24034704
1,book,0.23216084
1,cup,0.22779825
1,book,0.22687116
1,bottle,0.22557545
1,bottle,0.22413367
1,cup,0.22144653
1,book,0.22068408
1,book,0.21723428
1,book,0.2146411
1,book,0.21381451
1,book,0.21366401
1,chair,0.21157984
1,bottle,0.20979388
1,book,0.20722975
1,book,0.2049271
1,book,0.20486136
1,cup,0.20457534
1,chair,0.20439394
1,bed,0.20303985
1,couch,0.19803448
1,bottle,0.1970953
1,cup,0.19364122
1,bed,0.19279216
1,dining table,0.1919049
1,cup,0.19100721
1,bench,0.19081077
1,book,0.1904994
1,book,0.18758506
1,chair,0.18736367
1,toilet,0.18636888
1,tv,0.18630172
1,chair,0.18516271
1,book,0.18429683
1,book,0.18421963
1,book,0.18220487
1,book,0.18153945
1,bottle,0.18131219
1,couch,0.17825726
1,dining table,0.17736563
1,chair,0.17722006
2,book,0.6823717
2,book,0.6636404
2,book,0.6307617
2,couch,0.5632743
2,book,0.5579069
2,chair,0.5116082
2,book,0.51001835
2,book,0.46958873
2,book,0.43818557
2,book,0.43665406
2,book,0.43283224
2,book,0.43198985
2,chair,0.42248604
2,book,0.41814634
2,chair,0.41374436
2,chair,0.409686
2,book,0.40567324
2,book,0.3912236
2,book,0.36918762
2,couch,0.36214158
2,book,0.36053467
2,chair,0.34858108
2,book,0.34353843
2,couch,0.33818495
2,bench,0.3282602
2,book,0.32477826
2,book,0.3181979
2,book,0.31789917
2,chair,0.30805635
2,bottle,0.30333912
2,bottle,0.29719862
2,book,0.2930417
2,book,0.28560862
2,book,0.2808665
2,clock,0.28006342
2,couch,0.276545
2,book,0.2732628
2,book,0.2697377
2,book,0.26694766
2,book,0.26328167
2,book,0.2623777
2,bench,0.26233214
2,book,0.26207253
2,book,0.26057732
2,book,0.25631964
2,book,0.25170788
2,book,0.2513355
2,bottle,0.24863496
2,chair,0.24777006
2,book,0.24318689
2,book,0.23868239
2,book,0.2377088
2,book,0.23697527
2,chair,0.23673066
2,book,0.23180462
2,cup,0.22705105
2,bench,0.22677553
2,cup,0.22382165
2,bottle,0.22001185
2,cup,0.21862663
2,chair,0.21789905
2,book,0.21419765
2,book,0.21251841
2,book,0.21068478
2,cup,0.20889564
2,book,0.20819695
2,bottle,0.20761082
2,cup,0.20706657
2,book,0.20575254
2,book,0.204763
2,couch,0.20439602
2,chair,0.20282939
2,book,0.20141897
2,bed,0.2003884
2,toilet,0.19999947
2,book,0.19995522
2,book,0.19982749
2,dining table,0.19776896
2,book,0.1924988
2,suitcase,0.19234288
2,book,0.19172041
2,book,0.19055936
2,book,0.19025098
2,bottle,0.18996504
2,bottle,0.18995577
2,bed,0.18483953
2,book,0.18424176
2,backpack,0.18360806
2,cup,0.18316558
2,dining table,0.18252803
2,chair,0.1817466
2,chair,0.18166344
2,couch,0.18159606
2,bench,0.18148306
2,bottle,0.18034877
2,book,0.18020785
2,tv,0.17954679
2,book,0.1780527
2,book,0.17572825
2,book,0.17511502
3,book,0.68954945
3,book,0.6587794
3,book,0.621621
3,couch,0.56054157
3,chair,0.54902637
3,book,0.5441942
3,book,0.50944
3,chair,0.48191258
3,book,0.47981054
3,chair,0.47776905
3,book,0.4439951
3,book,0.4376901
3,chair,0.43555972
3,book,0.43414497
3,book,0.42985266
3,book,0.4220253
3,book,0.40543893
3,couch,0.36749446
3,couch,0.36005956
3,book,0.34935454
3,book,0.34298947
3,book,0.33885336
3,book,0.33849192
3,chair,0.3322758
3,chair,0.31528127
3,bench,0.30411702
3,chair,0.3019249
3,chair,0.29100212
3,couch,0.2870774
3,bottle,0.2810222
3,book,0.27642277
3,clock,0.2754677
3,book,0.27065253
3,book,0.2694296
3,bench,0.26852387
3,book,0.2640732
3,book,0.26407173
3,book,0.26366442
3,book,0.26115137
