Frame,Object,Confidence
1,bus,0.99907565
1,bus,0.99854326
1,bicycle,0.99716884
1,car,0.99654776
1,bicycle,0.96641856
1,bus,0.8512014
1,truck,0.7440241
1,bus,0.6098873
1,person,0.5521776
1,person,0.55206466
1,person,0.4235348
1,person,0.25851327
1,person,0.15154961
1,car,0.12119061
1,truck,0.12025593
1,truck,0.11976391
1,bicycle,0.114603326
1,person,0.11095329
1,person,0.10643523
1,person,0.101913504
1,bus,0.09657585
1,person,0.09473133
1,train,0.07398205
1,person,0.071824774
1,bus,0.06841571
1,person,0.0655138
1,person,0.064266264
1,car,0.063034154
1,person,0.060938563
1,person,0.06061432
1,person,0.059275914
2,bus,0.9991043
2,bus,0.998747
2,bicycle,0.99720436
2,car,0.993254
2,bicycle,0.96848226
2,bus,0.852706
2,truck,0.74515647
2,person,0.5632922
2,person,0.53598124
2,bus,0.5106828
2,person,0.39306226
2,person,0.26662764
2,person,0.1620127
2,person,0.15460263
2,person,0.1250548
2,truck,0.12484069
2,truck,0.1191028
2,person,0.10915235
2,person,0.106670246
2,bicycle,0.098067924
2,person,0.096599154
2,bus,0.09552486
2,person,0.08745419
2,person,0.08711259
2,person,0.08704314
2,car,0.08415123
2,person,0.077565126
2,person,0.07002593
2,bus,0.06982081
2,car,0.0652842
2,car,0.064156555
2,person,0.06380266
2,person,0.060945112
2,person,0.05531972
3,bus,0.99911433
3,bus,0.99866056
3,bicycle,0.99723464
3,car,0.99070084
3,bicycle,0.97170043
3,bus,0.8661133
3,truck,0.730825
3,car,0.65199196
3,person,0.62818
3,bus,0.61321545
3,person,0.5949757
3,person,0.41558427
3,person,0.40900394
3,person,0.28621298
3,person,0.16232622
3,person,0.14976758
3,car,0.14882573
3,person,0.1428426
3,bus,0.13955809
3,truck,0.124649316
3,person,0.120775804
3,bicycle,0.115932934
3,person,0.11514406
3,person,0.098071285
3,truck,0.088567495
3,bicycle,0.08457094
3,person,0.08029257
3,bus,0.071256034
3,person,0.06323423
3,person,0.061179463
3,car,0.058534943
3,person,0.05244745
3,car,0.05010115
4,bus,0.9991379
4,bus,0.9986218
4,bicycle,0.9973456
4,car,0.9910924
4,bicycle,0.9755229
4,bus,0.8833213
4,truck,0.7489565
4,person,0.6555465
4,person,0.63617736
4,person,0.60098463
4,bus,0.5981391
4,car,0.45982382
4,person,0.42225337
4,person,0.32276917
4,person,0.29231185
4,person,0.22987014
4,person,0.16011877
4,person,0.13626204
4,truck,0.11647572
4,car,0.116138175
4,person,0.11495846
4,person,0.11253966
4,bicycle,0.10963651
4,bicycle,0.08291333
4,motorcycle,0.075030886
4,person,0.074343204
4,car,0.073547214
4,truck,0.07314893
4,bus,0.06839591
4,person,0.06485378
4,person,0.060294338
4,person,0.06003461
4,person,0.05834148
4,car,0.057890996
4,bus,0.057425734
