Frame Number,Object,Confidence Score
1,person,0.6924946
1,person,0.66829187
1,person,0.66608125
1,person,0.64598954
1,person,0.6304956
1,person,0.61898214
1,person,0.60098827
1,person,0.58753437
1,person,0.5712556
1,person,0.5658632
1,person,0.56174135
1,person,0.5556301
1,person,0.5503968
1,person,0.5494519
1,person,0.5487151
1,person,0.54831344
1,person,0.5462938
1,person,0.541132
1,person,0.53343076
1,person,0.5196152
1,person,0.5147704
1,person,0.4968657
1,person,0.49342635
1,person,0.48558697
1,person,0.48436016
1,person,0.4823502
1,person,0.47455063
1,person,0.47123677
1,person,0.46937397
1,person,0.4686111
1,person,0.46638152
1,traffic light,0.46423385
1,person,0.46263942
1,person,0.46229383
1,person,0.457182
1,car,0.45412987
1,person,0.4473757
1,person,0.4462457
1,person,0.4400579
1,person,0.4365794
1,person,0.43528858
1,person,0.4327852
1,person,0.42984083
1,handbag,0.42793518
1,person,0.42499807
1,person,0.42409673
1,person,0.42233777
1,person,0.41950327
1,car,0.4142362
1,person,0.41148356
1,person,0.41041508
1,person,0.41024023
1,person,0.40976733
1,person,0.4048994
1,person,0.40026337
1,person,0.40001437
1,person,0.39647284
1,person,0.3952914
1,person,0.3926029
1,person,0.39233676
1,person,0.38933927
1,bicycle,0.38742504
1,person,0.3851927
1,motorcycle,0.38103768
1,person,0.38074416
1,person,0.38074157
1,person,0.37697366
1,traffic light,0.37351352
1,bottle,0.37262827
1,car,0.37158424
1,handbag,0.36952835
1,car,0.36762267
1,traffic light,0.36671823
1,person,0.36485848
1,traffic light,0.36422887
1,person,0.35944048
1,bicycle,0.35410175
1,bottle,0.35298443
1,person,0.35271785
1,person,0.35184708
1,traffic light,0.35180092
1,backpack,0.3511528
1,backpack,0.3501433
1,handbag,0.35005784
1,person,0.3495637
1,person,0.34933728
1,person,0.34771183
1,person,0.3459808
1,sink,0.34516647
1,person,0.34482965
1,person,0.3438805
1,handbag,0.34044108
1,person,0.33899346
1,person,0.33882788
1,person,0.33558995
1,person,0.33558783
1,person,0.33479154
1,bottle,0.33450812
1,bottle,0.33337164
1,car,0.33278012
2,person,0.67863256
2,person,0.6734866
2,person,0.65827984
2,person,0.6413942
2,person,0.6376214
2,person,0.61944807
2,person,0.6163813
2,person,0.60203487
2,person,0.59909815
2,person,0.57488406
2,person,0.5664454
2,person,0.55634433
2,person,0.54138434
2,person,0.5382879
2,person,0.5379682
2,person,0.527742
2,person,0.52549756
2,person,0.5205553
2,person,0.5172283
2,person,0.50264686
2,person,0.49756157
2,person,0.48555532
2,person,0.48293924
2,person,0.4815111
2,person,0.48114362
2,person,0.4778726
2,person,0.4749061
2,traffic light,0.4737498
2,person,0.47274584
2,person,0.47027713
2,person,0.4700678
2,person,0.4695371
2,person,0.46913347
2,person,0.46377006
2,person,0.4610725
2,person,0.4573794
2,person,0.4551587
2,person,0.45177025
2,person,0.4460176
2,person,0.44373405
2,handbag,0.4422337
2,person,0.44150135
2,person,0.44010997
2,person,0.43576768
2,person,0.431215
2,person,0.42941996
2,person,0.41492125
2,person,0.40820587
2,person,0.40693378
2,person,0.4068811
2,person,0.4061915
2,person,0.4044846
2,person,0.40400124
2,traffic light,0.40315264
2,person,0.40220883
2,person,0.40123382
2,person,0.40037513
2,motorcycle,0.40030152
2,handbag,0.39995286
2,person,0.39666843
2,person,0.39426744
2,person,0.39318365
2,person,0.39143208
2,person,0.38641194
2,person,0.3861201
2,person,0.38457057
2,person,0.37487102
2,person,0.37171614
2,motorcycle,0.3692497
2,traffic light,0.36906666
2,car,0.367491
2,person,0.3661237
2,backpack,0.36561945
2,handbag,0.36434746
2,person,0.3625131
2,person,0.3598517
2,bicycle,0.35957783
2,person,0.35865623
2,bicycle,0.35617903
2,person,0.3561025
2,person,0.35598394
2,person,0.35539111
2,backpack,0.35280707
2,bicycle,0.35229722
2,bottle,0.35127303
2,person,0.3510815
2,car,0.35013124
2,bicycle,0.35007757
2,chair,0.34913322
2,car,0.3469617
2,car,0.34461865
2,person,0.343305
2,handbag,0.34283018
2,bottle,0.3424346
2,person,0.34166628
2,handbag,0.3411471
2,person,0.33971432
2,traffic light,0.33731624
2,person,0.3341224
2,clock,0.33335605
3,person,0.6819911
3,person,0.6523156
3,person,0.6424358
3,person,0.63567704
3,person,0.62612975
3,person,0.6164901
3,person,0.6072636
3,person,0.58960474
3,person,0.58921665
3,person,0.56490976
3,person,0.5604289
3,person,0.5488898
3,person,0.5317738
3,person,0.5277906
3,person,0.5270927
3,person,0.5224477
3,person,0.5150262
3,person,0.5147206
3,person,0.5095776
3,person,0.508061
3,person,0.5067222
3,person,0.5044406
3,person,0.49695638
3,person,0.4966772
3,person,0.47743654
3,person,0.47709656
3,person,0.46865058
3,person,0.46213767
3,traffic light,0.4605877
3,person,0.45993713
3,person,0.4588322
3,person,0.4583093
3,person,0.4575099
3,person,0.4516537
3,person,0.44415626
3,person,0.44115853
3,person,0.43923712
3,person,0.43758735
3,person,0.43580815
3,person,0.43529853
3,person,0.43136722
3,person,0.43000856
3,person,0.42667505
3,person,0.42414027
3,person,0.41792303
3,person,0.41633564
3,motorcycle,0.4154543
3,person,0.411253
3,person,0.40805593
3,person,0.40657413
3,handbag,0.40612876
3,person,0.40512732
3,person,0.40455207
3,person,0.39269948
