Frame,Object Name,X1,Y1,X2,Y2
0,person,48,143,477,851
0,remote,257,396,306,457
0,cup,339,335,391,391
0,chair,228,658,383,851
1,person,48,145,477,851
1,cup,338,335,390,390
1,remote,255,394,305,455
1,chair,229,658,382,851
2,person,48,145,477,851
2,cup,338,335,390,390
2,remote,255,394,305,455
2,chair,229,658,382,851
3,person,47,148,477,851
3,cup,338,336,389,390
3,remote,253,394,304,454
4,person,46,148,477,851
4,cup,337,337,388,391
4,remote,252,394,302,454
4,chair,228,661,376,851
5,person,44,149,478,851
5,remote,250,395,301,455
5,cup,337,339,387,391
5,chair,226,661,374,851
6,person,43,150,478,851
6,remote,250,396,300,456
6,cup,336,342,387,387
6,chair,223,661,371,851
7,person,39,148,479,850
7,remote,248,399,299,458
7,cup,335,344,385,387
7,chair,221,662,369,851
8,person,38,151,479,850
8,cup,333,346,384,390
8,remote,245,401,296,458
8,chair,218,661,366,851
9,person,36,151,479,850
9,remote,244,403,294,462
9,cup,331,348,381,395
10,person,35,152,479,850
10,remote,243,404,292,464
10,cup,329,349,379,400
10,cup,329,350,379,424
11,person,34,152,479,850
11,remote,242,405,291,465
11,cup,328,351,377,396
11,chair,212,665,358,851
12,person,33,152,478,850
12,remote,241,405,290,465
12,remote,327,353,376,395
12,chair,212,665,356,851
12,cup,327,353,376,397
13,person,32,153,478,850
13,remote,240,406,289,466
13,chair,212,665,356,851
13,remote,326,355,376,397
14,person,32,154,479,850
14,remote,239,407,288,467
14,remote,326,356,375,397
14,chair,210,666,355,851
14,cup,326,355,374,399
15,person,30,154,479,850
15,remote,238,408,286,468
15,cup,325,357,374,414
15,remote,325,357,374,399
15,chair,208,669,355,851
16,person,29,154,478,850
16,remote,237,410,286,470
16,remote,324,359,374,401
16,chair,208,673,352,851
17,person,28,157,478,850
17,remote,236,412,285,471
17,remote,324,361,373,403
17,cup,324,360,373,406
18,person,27,160,479,851
18,remote,235,414,284,474
18,cup,323,362,372,408
18,remote,323,362,372,407
19,person,26,162,479,851
19,remote,234,415,283,475
19,cup,322,363,372,410
20,person,25,165,479,851
20,remote,233,416,281,476
20,cup,322,365,371,410
20,chair,199,644,479,851
21,person,24,167,479,851
21,remote,232,417,280,478
21,cup,321,367,370,412
21,remote,321,367,370,412
21,chair,198,644,479,850
22,person,24,170,479,851
22,remote,232,418,280,479
22,cup,320,368,369,413
22,remote,320,368,369,413
22,chair,197,644,479,851
23,person,24,171,479,851
23,remote,231,421,279,480
23,chair,196,642,478,850
23,cup,320,370,369,413
23,remote,320,370,369,413
24,person,23,172,479,850
24,remote,232,422,278,481
24,cup,320,371,368,416
24,chair,196,650,478,851
25,person,23,173,478,850
25,remote,231,422,278,481
25,cup,320,372,368,418
25,chair,195,651,479,851
26,person,23,172,477,851
26,remote,231,422,278,481
26,cup,319,374,367,420
26,chair,195,654,478,851
