Frame,Object Name,X1,Y1,X2,Y2
54,chair,0,381,473,851
54,chair,207,649,475,851
55,person,33,170,478,851
55,remote,230,417,283,473
55,remote,339,412,388,468
55,chair,208,647,475,851
55,chair,0,375,475,851
56,person,33,170,478,850
56,remote,230,416,283,473
56,chair,208,645,476,851
56,cup,339,410,388,467
56,chair,0,381,474,851
57,person,32,170,477,851
57,remote,229,415,282,471
57,chair,208,645,475,851
57,chair,0,374,475,851
57,cup,338,408,386,462
58,person,31,169,478,851
58,remote,227,413,280,469
58,chair,207,642,475,851
58,chair,0,375,475,851
58,cup,337,406,384,459
59,person,30,168,478,851
59,remote,224,412,278,466
59,chair,207,643,475,851
59,cup,334,404,383,459
59,chair,0,374,475,851
60,person,30,168,478,851
60,remote,222,410,276,464
60,chair,0,381,474,851
60,chair,209,641,475,851
60,cup,332,403,381,457
61,person,28,168,478,850
61,remote,220,409,274,462
61,chair,209,641,475,851
61,remote,330,403,380,458
61,chair,0,380,474,851
62,person,28,168,478,850
62,remote,220,408,272,460
62,chair,208,643,475,851
62,chair,0,375,475,851
63,person,27,168,478,850
63,remote,218,407,271,459
63,chair,0,375,475,851
63,chair,207,644,475,851
63,remote,328,404,377,458
64,person,28,168,478,850
64,remote,217,407,270,458
64,chair,0,380,474,851
64,chair,209,647,475,851
65,person,28,168,478,850
65,remote,216,405,270,457
65,chair,0,379,474,851
65,chair,209,649,476,851
66,person,28,168,478,850
66,remote,216,405,269,456
66,chair,0,380,474,851
66,chair,209,649,476,851
67,person,29,168,478,851
67,remote,216,404,269,456
67,chair,0,379,474,851
67,chair,207,649,475,851
68,person,30,167,478,851
68,remote,216,403,269,453
68,chair,0,378,473,851
68,chair,206,649,475,851
69,person,31,167,478,851
69,remote,216,402,269,452
69,chair,0,378,474,851
69,remote,330,408,378,463
69,chair,204,647,476,851
70,person,32,168,478,851
70,remote,215,401,268,452
70,chair,0,378,474,851
70,chair,202,647,475,851
71,person,32,168,478,851
71,remote,215,400,268,451
71,chair,0,378,474,851
71,chair,202,647,475,851
71,remote,330,404,378,458
72,person,33,168,478,851
72,remote,215,400,268,451
72,chair,0,378,474,851
72,chair,204,646,475,851
73,person,34,170,478,851
73,remote,215,401,268,451
73,chair,0,380,474,851
73,chair,203,648,476,851
74,person,32,170,478,850
74,remote,214,403,267,451
74,chair,0,380,474,851
74,chair,204,646,475,851
74,cup,332,406,380,459
75,person,32,174,477,851
75,cup,334,409,381,461
75,remote,213,404,266,451
75,chair,0,382,473,851
76,person,30,178,477,851
76,cup,335,411,382,463
76,remote,211,404,265,452
76,chair,0,378,473,851
77,person,27,178,477,851
77,remote,207,400,264,449
77,cup,335,411,381,465
77,chair,0,374,472,851
77,bowl,334,411,381,464
78,person,24,179,477,851
78,cup,334,412,380,465
78,remote,203,398,260,447
78,chair,0,376,473,851
79,person,23,180,477,851
79,remote,200,396,258,443
79,chair,0,388,472,852
79,cup,334,412,379,466
80,person,23,180,477,851
80,chair,0,386,369,851
80,cup,333,412,379,466
80,remote,199,393,256,441
81,person,22,181,474,851
81,cup,333,412,379,466
81,chair,0,385,470,851
81,remote,197,390,255,436
82,person,22,181,475,851
82,cup,333,411,379,464
82,chair,0,384,471,851
82,remote,194,388,253,434
83,person,23,183,475,851
83,cup,332,409,379,462
83,remote,192,387,253,432
83,chair,0,385,470,851
84,person,24,184,473,851
84,remote,191,385,252,430
84,chair,0,384,466,851
84,cup,330,406,378,460
85,person,25,185,472,851
85,remote,191,385,253,429
85,chair,0,384,468,851
85,cup,330,403,377,456
86,person,26,187,470,851
86,cup,328,402,377,453
86,chair,0,384,464,851
86,remote,192,386,254,430
87,person,29,190,469,851
87,remote,194,386,256,430
87,cup,327,399,375,451
87,chair,0,385,461,851
88,person,32,194,469,851
88,remote,198,386,258,431
88,chair,0,384,458,851
89,person,36,198,470,851
89,remote,199,387,260,431
89,chair,0,387,463,851
90,person,38,200,470,851
90,remote,201,387,261,433
90,chair,0,387,455,851
90,cup,323,398,371,447
91,person,42,201,472,851
91,remote,202,388,262,434
91,cup,323,401,371,450
91,chair,0,389,442,851
92,person,43,202,470,851
92,remote,203,390,264,435
92,cup,323,404,370,454
92,chair,0,390,447,851
93,person,45,203,470,851
93,remote,204,391,265,438
93,cup,324,408,371,457
93,chair,0,390,440,851
94,person,46,204,469,851
94,remote,206,393,266,440
94,chair,0,390,448,851
94,remote,325,412,373,461
95,person,46,205,467,851
95,remote,208,395,267,443
95,chair,0,389,447,851
96,person,46,206,456,851
96,remote,209,396,268,445
96,chair,0,389,454,850
96,remote,330,419,375,469
96,couch,0,392,454,852
97,person,46,207,465,851
97,remote,211,397,270,446
97,chair,0,389,451,851
97,remote,331,421,377,471
98,person,46,208,458,851
98,remote,213,399,272,449
98,chair,0,387,450,851
98,remote,332,423,377,474
99,person,47,209,463,851
99,remote,215,400,274,450
99,chair,-1,390,443,851
99,remote,333,424,377,474
100,person,47,209,460,851
100,remote,217,401,275,452
100,chair,0,388,447,851
100,remote,334,423,378,474
101,person,49,209,460,851
101,remote,220,401,278,452
101,remote,334,422,378,472
101,chair,0,388,446,851
102,person,52,210,459,851
102,remote,222,401,280,453
102,remote,334,421,378,470
102,chair,-2,389,449,851
103,person,54,212,455,851
103,remote,333,418,377,467
103,remote,224,400,282,453
103,chair,-1,388,445,851
104,person,58,214,451,851
104,remote,226,400,284,453
104,remote,331,415,376,464
104,chair,-1,387,445,851
105,person,59,218,455,851
105,remote,228,400,285,453
105,remote,329,412,373,461
105,chair,-1,386,442,851
106,person,59,223,453,851
106,remote,230,401,286,454
106,remote,325,410,369,457
106,chair,-1,387,435,851
107,person,59,227,450,851
107,remote,230,403,287,454
