Frame,Object,Confidence
1,dog,0.8592712
1,cow,0.30828115
1,sheep,0.17748
1,cat,0.15458429
1,truck,0.11959321
1,dog,0.09268616
1,cow,0.078164645
1,bear,0.05292706
2,dog,0.8259232
2,cat,0.22824496
2,cow,0.16717762
2,sheep,0.1478788
2,dog,0.12559098
2,bear,0.120548055
2,horse,0.05692069
3,dog,0.63060343
3,cat,0.31521136
3,sheep,0.29265493
3,cow,0.25558138
3,bear,0.09528729
3,horse,0.08345166
3,bird,0.080421396
4,dog,0.82389
4,cat,0.2172289
4,cow,0.21058291
4,sheep,0.20780724
4,bear,0.06758748
5,dog,0.7804714
5,sheep,0.17511922
5,person,0.16388431
5,cow,0.14989603
5,cat,0.14266759
5,bird,0.12728529
5,bear,0.08714085
6,dog,0.7933805
6,cat,0.19231862
6,sheep,0.08946421
6,bear,0.06943454
6,cow,0.067210905
6,truck,0.06370396
7,cat,0.89867586
7,dog,0.81177646
7,cat,0.3389058
7,bear,0.13814749
7,cow,0.11436034
7,sheep,0.10277564
7,bird,0.067469195
8,cat,0.99376374
8,dog,0.7117961
8,cat,0.5523721
8,bird,0.12462791
8,bear,0.081223726
8,truck,0.06651412
8,bench,0.053981807
9,cat,0.9648054
9,dog,0.7974563
9,cat,0.32987413
9,dog,0.22243774
9,cow,0.08988764
9,bear,0.06834379
9,bench,0.051647156
10,cat,0.8847143
10,dog,0.65270686
10,cat,0.60205656
10,dog,0.4189754
10,cow,0.16676757
10,dog,0.07991278
10,bear,0.051262937
10,truck,0.05052605
11,cat,0.87360466
11,cat,0.60325265
11,bird,0.5631402
11,dog,0.5393454
11,dog,0.50340444
11,cow,0.38979903
11,bird,0.29261303
11,bird,0.09920876
11,sheep,0.08380597
11,dog,0.053220723
11,truck,0.052617706
12,bird,0.8335606
12,cat,0.8091657
12,dog,0.5599721
12,dog,0.51648486
12,cat,0.4522074
12,cow,0.2816343
12,bird,0.13634643
12,sheep,0.062399365
12,sheep,0.054961443
12,bear,0.052016165
12,dog,0.050980624
13,cat,0.8038581
13,dog,0.7730259
13,dog,0.5675769
13,bird,0.51781005
13,cat,0.26126587
13,sheep,0.14011991
13,cow,0.13911407
13,dog,0.05342648
14,cat,0.88089794
14,dog,0.76086134
14,bird,0.4601679
14,sheep,0.4329803
14,dog,0.33725718
14,cow,0.18593504
15,cat,0.9265486
15,dog,0.7527669
15,cat,0.36576682
15,sheep,0.3511505
15,dog,0.3342243
15,bird,0.22586109
15,cow,0.13933717
15,cow,0.06300619
16,cat,0.9175081
16,sheep,0.7642619
16,dog,0.69512147
16,dog,0.28426796
16,cat,0.13925293
16,cow,0.08063858
16,person,0.069250084
16,bird,0.06264215
17,sheep,0.87038493
17,cat,0.8237335
17,dog,0.7715694
17,dog,0.3801394
17,cow,0.10879177
17,cat,0.08059837
18,cat,0.8496918
18,dog,0.7354048
18,sheep,0.5670396
18,dog,0.5159309
18,cat,0.20293613
18,cow,0.058300503
18,bear,0.05765045
18,cow,0.056264278
19,sheep,0.9169825
19,dog,0.8573953
19,cat,0.82508093
19,dog,0.63581264
19,cat,0.077583596
19,cow,0.050535835
20,dog,0.8541153
20,sheep,0.7928292
20,cat,0.683828
20,dog,0.5200116
20,cat,0.09817781
20,cow,0.050592422
21,sheep,0.8850151
21,cat,0.8342609
21,dog,0.78293663
21,dog,0.6531769
21,cat,0.05679851
21,person,0.056046147
21,cow,0.052390456
22,dog,0.8697188
22,cat,0.8661008
22,sheep,0.69434845
22,dog,0.4901322
22,cow,0.10290057
22,sheep,0.10234702
22,cat,0.10197281
22,person,0.08148666
22,horse,0.07184756
23,dog,0.91649115
23,cat,0.9098311
23,sheep,0.33407292
23,dog,0.32357147
23,person,0.16152827
23,cat,0.05376243
24,cat,0.9648474
24,dog,0.96238273
24,dog,0.1439786
24,person,0.1020572
24,cat,0.056940787
25,cat,0.97767276
25,dog,0.95216596
25,person,0.12666807
25,dog,0.08374393
25,sheep,0.08334827
26,cat,0.93821096
26,dog,0.9292924
26,sheep,0.43482468
26,dog,0.25335228
26,person,0.093595184
26,car,0.09340114
27,cat,0.9534868
27,dog,0.9148309
