Frame,Object Name,X1,Y1,X2,Y2
0,car,1396.0,678.0,1515.0,812.0
0,car,1631.0,742.0,1772.0,884.0
0,car,1752.0,968.0,1919.0,1077.0
0,car,1549.0,900.0,1706.0,1077.0
0,car,1490.0,534.0,1605.0,648.0
0,car,1334.0,557.0,1427.0,662.0
0,car,1306.0,451.0,1394.0,540.0
0,car,451.0,833.0,524.0,878.0
0,car,1369.0,363.0,1449.0,433.0
0,car,1422.0,417.0,1514.0,514.0
0,car,1322.0,297.0,1401.0,357.0
0,car,1275.0,360.0,1349.0,443.0
0,car,488.0,893.0,535.0,946.0
0,car,1265.0,233.0,1335.0,288.0
0,car,1508.0,229.0,1596.0,277.0
0,car,479.0,1002.0,536.0,1066.0
0,car,1568.0,297.0,1679.0,360.0
0,car,1770.0,399.0,1907.0,474.0
0,car,681.0,900.0,816.0,964.0
0,car,1454.0,245.0,1532.0,291.0
0,car,513.0,486.0,554.0,520.0
0,car,1653.0,286.0,1754.0,349.0
0,car,469.0,489.0,504.0,517.0
0,bus,419.0,397.0,574.0,451.0
0,car,1211.0,265.0,1277.0,326.0
0,truck,1652.0,286.0,1755.0,349.0
1,car,1635.0,746.0,1776.0,889.0
1,car,1398.0,680.0,1518.0,815.0
1,car,1551.0,904.0,1710.0,1077.0
1,car,1757.0,973.0,1919.0,1078.0
1,car,1493.0,537.0,1609.0,652.0
1,car,1337.0,559.0,1430.0,664.0
1,car,450.0,833.0,523.0,878.0
1,car,1424.0,420.0,1515.0,514.0
1,car,1307.0,454.0,1396.0,542.0
1,car,1275.0,365.0,1351.0,445.0
1,car,1323.0,298.0,1403.0,358.0
1,car,1371.0,365.0,1453.0,435.0
1,car,487.0,893.0,535.0,946.0
1,car,479.0,1002.0,535.0,1066.0
1,car,1266.0,233.0,1337.0,287.0
1,car,1508.0,230.0,1595.0,277.0
1,car,1568.0,296.0,1679.0,360.0
1,car,1770.0,397.0,1905.0,473.0
1,car,1453.0,244.0,1532.0,291.0
1,car,1651.0,286.0,1754.0,348.0
1,car,681.0,901.0,815.0,964.0
1,car,469.0,489.0,504.0,517.0
1,car,1211.0,265.0,1278.0,328.0
1,car,516.0,486.0,552.0,518.0
1,bus,418.0,397.0,574.0,450.0
2,car,1761.0,978.0,1920.0,1078.0
2,car,1639.0,748.0,1779.0,893.0
2,car,1496.0,539.0,1612.0,654.0
2,car,1552.0,907.0,1711.0,1077.0
2,car,1403.0,684.0,1521.0,818.0
2,car,1342.0,562.0,1431.0,666.0
2,car,1309.0,457.0,1397.0,543.0
2,car,1324.0,299.0,1405.0,359.0
2,car,1426.0,422.0,1517.0,518.0
2,car,1372.0,364.0,1455.0,436.0
2,car,449.0,833.0,523.0,878.0
2,car,1275.0,366.0,1352.0,447.0
2,car,1769.0,397.0,1904.0,472.0
2,car,1568.0,295.0,1678.0,359.0
2,car,487.0,894.0,535.0,947.0
2,car,1508.0,230.0,1595.0,276.0
2,car,479.0,1003.0,536.0,1066.0
2,car,1266.0,234.0,1338.0,289.0
2,car,1452.0,244.0,1531.0,292.0
2,car,681.0,902.0,816.0,965.0
2,car,1651.0,284.0,1754.0,347.0
2,car,518.0,486.0,552.0,517.0
2,car,469.0,490.0,503.0,517.0
2,car,1213.0,267.0,1277.0,328.0
2,car,654.0,861.0,753.0,915.0
2,bus,421.0,399.0,573.0,451.0
2,car,1393.0,206.0,1459.0,254.0
3,car,1768.0,984.0,1920.0,1079.0
3,car,1643.0,752.0,1784.0,899.0
3,car,1403.0,687.0,1524.0,821.0
3,car,1499.0,541.0,1615.0,659.0
3,car,1309.0,459.0,1399.0,545.0
3,car,1344.0,565.0,1434.0,669.0
3,car,1558.0,911.0,1715.0,1078.0
3,car,1428.0,423.0,1520.0,521.0
3,car,449.0,834.0,523.0,880.0
3,car,1327.0,300.0,1407.0,360.0
3,car,1375.0,365.0,1458.0,438.0
3,car,1768.0,397.0,1903.0,472.0
3,car,1567.0,295.0,1678.0,359.0
3,car,1268.0,235.0,1340.0,290.0
3,car,1274.0,368.0,1353.0,448.0
3,car,488.0,894.0,535.0,948.0
3,car,478.0,1004.0,537.0,1067.0
3,car,681.0,903.0,816.0,963.0
3,car,1650.0,284.0,1754.0,347.0
3,car,1452.0,243.0,1531.0,292.0
3,car,1509.0,231.0,1595.0,276.0
3,car,1215.0,265.0,1280.0,329.0
3,car,469.0,491.0,502.0,518.0
3,car,517.0,486.0,553.0,517.0
3,bus,419.0,398.0,573.0,451.0
3,car,692.0,954.0,834.0,1041.0
3,car,1393.0,206.0,1460.0,254.0
3,car,1263.0,307.0,1327.0,397.0
4,car,1646.0,755.0,1790.0,901.0
4,car,1406.0,688.0,1526.0,825.0
4,car,1502.0,544.0,1619.0,662.0
4,car,1773.0,989.0,1921.0,1078.0
4,car,1344.0,566.0,1437.0,670.0
4,car,1313.0,459.0,1400.0,547.0
4,car,1431.0,425.0,1522.0,523.0
4,car,1328.0,301.0,1409.0,361.0
4,car,1378.0,366.0,1459.0,440.0
4,car,1561.0,914.0,1710.0,1077.0
4,car,448.0,835.0,523.0,881.0
4,car,1766.0,396.0,1901.0,472.0
4,car,1268.0,235.0,1342.0,291.0
4,car,1278.0,375.0,1355.0,448.0
4,car,1566.0,294.0,1677.0,358.0
4,car,681.0,904.0,816.0,963.0
4,car,488.0,895.0,536.0,948.0
4,car,1647.0,283.0,1754.0,347.0
4,car,479.0,1005.0,536.0,1067.0
4,car,1452.0,244.0,1531.0,290.0
4,car,1508.0,231.0,1595.0,276.0
4,car,1217.0,266.0,1279.0,329.0
4,car,469.0,490.0,503.0,518.0
4,car,512.0,486.0,553.0,519.0
4,car,499.0,752.0,540.0,805.0
4,car,656.0,863.0,755.0,915.0
4,car,388.0,941.0,445.0,980.0
5,car,1407.0,690.0,1528.0,828.0
5,car,1650.0,759.0,1793.0,906.0
5,car,1544.0,919.0,1719.0,1077.0
5,car,1505.0,547.0,1623.0,665.0
5,car,1314.0,459.0,1403.0,549.0
5,car,1346.0,569.0,1439.0,672.0
5,car,1780.0,995.0,1921.0,1078.0
5,car,1379.0,367.0,1460.0,442.0
5,car,1433.0,427.0,1526.0,526.0
5,car,1330.0,302.0,1410.0,363.0
5,car,446.0,835.0,522.0,882.0
5,car,1280.0,366.0,1356.0,448.0
5,car,1271.0,238.0,1344.0,291.0
5,car,1565.0,294.0,1677.0,358.0
5,car,478.0,1005.0,537.0,1068.0
5,car,1766.0,396.0,1898.0,471.0
5,car,1648.0,282.0,1752.0,347.0
5,car,489.0,896.0,535.0,949.0
5,car,1449.0,243.0,1530.0,290.0
5,car,1508.0,231.0,1595.0,276.0
5,car,1219.0,270.0,1281.0,330.0
5,car,681.0,904.0,817.0,966.0
5,car,469.0,491.0,504.0,518.0
5,car,512.0,486.0,552.0,519.0
5,car,655.0,864.0,760.0,915.0
5,car,499.0,753.0,540.0,802.0
5,car,1263.0,306.0,1328.0,396.0
5,bus,419.0,400.0,567.0,452.0
5,car,1395.0,205.0,1462.0,253.0
6,car,1408.0,693.0,1531.0,830.0
6,car,1654.0,764.0,1797.0,911.0
6,car,1507.0,549.0,1626.0,667.0
6,car,1317.0,461.0,1404.0,551.0
6,car,1348.0,571.0,1441.0,675.0
6,car,1783.0,1003.0,1919.0,1078.0
6,car,1550.0,921.0,1723.0,1078.0
6,car,1332.0,302.0,1413.0,363.0
6,car,1436.0,431.0,1527.0,528.0
6,car,445.0,836.0,520.0,882.0
6,car,1380.0,368.0,1465.0,443.0
6,car,1274.0,239.0,1344.0,292.0
6,car,1280.0,368.0,1358.0,450.0
6,car,1564.0,294.0,1675.0,358.0
6,car,1765.0,397.0,1898.0,470.0
6,car,478.0,1005.0,536.0,1069.0
6,car,1219.0,272.0,1281.0,331.0
6,car,490.0,897.0,535.0,949.0
6,car,1450.0,243.0,1530.0,289.0
6,car,1648.0,282.0,1752.0,347.0
6,car,1508.0,231.0,1595.0,276.0
6,car,681.0,906.0,816.0,977.0
6,car,470.0,491.0,505.0,518.0
6,bus,417.0,400.0,567.0,451.0
6,car,434.0,733.0,479.0,780.0
6,car,1395.0,205.0,1461.0,253.0
6,car,513.0,486.0,551.0,518.0
6,car,1265.0,309.0,1330.0,394.0
6,car,492.0,808.0,539.0,846.0
6,car,656.0,866.0,758.0,916.0
6,car,499.0,754.0,540.0,801.0
7,car,1413.0,696.0,1535.0,833.0
7,car,1316.0,462.0,1406.0,553.0
7,car,1657.0,768.0,1802.0,914.0
7,car,1510.0,552.0,1631.0,671.0
7,car,1352.0,572.0,1443.0,678.0
