Frame,Object,Confidence
1,person,0.9993625
1,person,0.99847585
1,person,0.9966618
1,person,0.9479028
1,person,0.8986705
1,person,0.7999734
1,person,0.31312105
1,person,0.31174332
1,person,0.20764688
1,person,0.13362841
1,traffic light,0.12275442
1,person,0.11800219
1,train,0.11763148
1,traffic light,0.10037315
1,traffic light,0.09570516
1,person,0.087883264
1,person,0.083069086
1,person,0.08113843
1,bicycle,0.07717528
1,backpack,0.07416679
1,umbrella,0.070606425
1,person,0.06956062
1,person,0.06685935
1,person,0.06268203
1,train,0.057506144
1,traffic light,0.057039242
1,person,0.050933998
1,person,0.050846748
1,handbag,0.050075408
2,person,0.9994012
2,person,0.9982718
2,person,0.99692863
2,person,0.98386484
2,person,0.9496509
2,person,0.586114
2,person,0.4587197
2,person,0.37963107
2,person,0.29482415
2,person,0.2746207
2,person,0.25779882
2,train,0.22344589
2,traffic light,0.20220807
2,person,0.20138922
2,train,0.19561677
2,bicycle,0.17054431
2,person,0.16530502
2,person,0.15160902
2,traffic light,0.13600372
2,bicycle,0.09543081
2,umbrella,0.08276844
2,person,0.07426154
2,person,0.07364616
2,backpack,0.06748244
2,traffic light,0.06395442
2,train,0.058534436
2,person,0.05741868
2,traffic light,0.05677722
2,traffic light,0.055155963
2,chair,0.05425429
2,person,0.05178898
3,person,0.9993074
3,person,0.998151
3,person,0.9948768
3,person,0.98792076
3,person,0.9601345
3,person,0.60176504
3,person,0.530727
3,person,0.28753158
3,person,0.26740152
3,person,0.22352068
3,handbag,0.20191668
3,bicycle,0.1953119
3,person,0.1636522
3,person,0.12923989
3,traffic light,0.12544416
3,dog,0.10330925
3,traffic light,0.09870675
3,train,0.09687547
3,person,0.07570047
3,traffic light,0.07551075
3,bicycle,0.07071066
3,person,0.068499446
3,handbag,0.0684017
3,person,0.067203276
3,person,0.06426712
3,backpack,0.06167409
3,train,0.060646713
3,train,0.054766376
3,traffic light,0.05443782
4,person,0.99937445
4,person,0.9981353
4,person,0.993859
4,person,0.98008895
4,person,0.9481114
4,handbag,0.5364714
4,person,0.45126012
4,person,0.22375855
4,person,0.21483223
4,person,0.20014635
4,person,0.19679424
4,bicycle,0.19582501
4,person,0.17811352
4,traffic light,0.16881984
4,person,0.16515306
4,person,0.12613332
4,person,0.11769116
4,dog,0.1121048
4,handbag,0.11102754
4,traffic light,0.111022905
4,person,0.075250916
4,suitcase,0.07211872
4,boat,0.06919811
4,traffic light,0.06733368
4,person,0.06120342
4,train,0.059513588
4,person,0.057591487
4,handbag,0.05740179
4,train,0.056578964
4,boat,0.052182708
5,person,0.9990922
5,person,0.9982816
5,person,0.99363315
5,person,0.9497539
5,person,0.9089322
5,person,0.48024136
5,person,0.32857868
5,person,0.27168408
5,person,0.26114357
5,person,0.25808194
5,person,0.23566286
5,bicycle,0.1974292
5,person,0.1441223
5,traffic light,0.14242534
5,person,0.14161085
5,traffic light,0.13603677
5,handbag,0.10605054
5,person,0.10364551
5,person,0.09578132
5,backpack,0.075630695
5,person,0.07399962
5,train,0.06972215
5,boat,0.06283604
5,handbag,0.06264828
5,handbag,0.06083951
5,traffic light,0.051420182
6,person,0.99954057
6,person,0.9981675
6,person,0.9933282
6,person,0.9545772
6,person,0.7307323
6,person,0.40975592
6,person,0.37443492
6,person,0.33615282
6,person,0.29707316
6,person,0.20654663
6,traffic light,0.16685398
6,person,0.16009332
6,person,0.15579724
6,person,0.15074374
6,person,0.14583284
6,bicycle,0.13686481
6,person,0.13293456
6,traffic light,0.09513561
6,person,0.09087019
6,train,0.08890627
6,person,0.07220166
6,person,0.07136761
6,person,0.06952202
6,boat,0.06919863
6,handbag,0.06729699
6,person,0.06370979
6,backpack,0.06075732
6,person,0.058662154
6,traffic light,0.057314254
6,boat,0.054931227
6,person,0.05033724
7,person,0.99934965
7,person,0.99754554
7,person,0.99340373
7,person,0.9670863
7,person,0.7927289
7,person,0.3303284
7,person,0.30502963
7,traffic light,0.3005895
7,person,0.23372622
7,person,0.21729298
7,person,0.21432254
7,bicycle,0.19508918
7,person,0.18241683
7,person,0.12783763
7,person,0.11887065
7,train,0.111823745
7,traffic light,0.106364965
7,boat,0.105184056
7,person,0.100109026
7,person,0.08794268
7,person,0.08454113
7,person,0.081358664
7,boat,0.071927264
7,traffic light,0.07181102
7,handbag,0.069287285
7,person,0.06318679
7,backpack,0.061834376
7,train,0.06106038
7,person,0.056714103
7,person,0.054287955
7,boat,0.051195167
7,boat,0.05111853
7,person,0.05018413
8,person,0.9991449
8,person,0.9979336
8,person,0.9952756
8,person,0.95556086
8,person,0.8809319
8,person,0.71033907
8,person,0.51391387
8,person,0.40602216
8,person,0.30241102
8,person,0.2345464
8,person,0.22188011
8,person,0.22017817
8,person,0.18559988
8,person,0.17537867
8,person,0.1673015
8,person,0.11687693
8,train,0.09203321
8,backpack,0.08716415
8,traffic light,0.08607982
8,person,0.0811979
8,person,0.08091797
8,person,0.07909928
8,person,0.06872602
8,handbag,0.06401823
8,person,0.060603183
8,boat,0.06037566
8,train,0.05926542
8,person,0.05467263
8,bicycle,0.051022377
8,boat,0.05068054
9,person,0.99905425
9,person,0.99825674
9,person,0.99527246
9,person,0.94918483
9,person,0.92157155
9,person,0.49020925
9,person,0.41212213
9,person,0.31026784
9,person,0.2832102
9,person,0.2536005
9,person,0.24903396
9,person,0.24714893
9,person,0.20845303
9,person,0.1803658
9,backpack,0.118777834
9,traffic light,0.10462988
9,bus,0.100053206
9,handbag,0.094578296
9,train,0.08866442
9,person,0.08548496
9,train,0.078968324
9,person,0.07721556
9,boat,0.07042214
9,train,0.06972034
9,person,0.06812418
9,person,0.06700965
9,person,0.06184332
9,handbag,0.054847598
9,bicycle,0.05403576
9,bicycle,0.05050945
10,person,0.9994123
10,person,0.9982822
10,person,0.9944647
10,person,0.94805074
10,person,0.8839897
10,person,0.8182317
10,person,0.7539765
10,person,0.44280463
10,person,0.23335154
10,person,0.2152567
10,person,0.2098146
10,person,0.20105049
10,person,0.11644584
10,person,0.11508695
10,backpack,0.10697355
10,person,0.10021701
10,traffic light,0.088749155
10,train,0.08555944
10,train,0.08029172
10,handbag,0.06591236
10,boat,0.064911686
10,person,0.06349957
10,car,0.056265928
10,bus,0.05118001
11,person,0.9995308
11,person,0.99830437
11,person,0.9927314
11,person,0.94517154
11,person,0.9325286
11,person,0.84787875
11,person,0.8314054
11,person,0.26905638
11,person,0.23336856
11,person,0.21888429
11,person,0.21422006
11,person,0.20649585
11,backpack,0.18293029
11,person,0.16207677
11,bicycle,0.15667003
11,person,0.13369644
11,person,0.13234933
11,person,0.106400646
11,handbag,0.09632529
11,train,0.09577689
11,handbag,0.08248229
11,train,0.081047714
11,car,0.08071956
11,traffic light,0.07542382
11,backpack,0.07319821
11,bus,0.068462305
11,truck,0.061434217
11,train,0.059576605
11,boat,0.057462677
12,person,0.99959666
12,person,0.9983954
12,person,0.9921429
12,person,0.94383985
12,person,0.9319829
12,person,0.9279075
12,person,0.8083045
12,person,0.53627014
12,person,0.31689996
12,person,0.23322727
12,backpack,0.22195025
12,bicycle,0.16757382
12,person,0.12901777
12,person,0.11830453
12,train,0.1058373
12,car,0.101670414
12,backpack,0.094361946
12,traffic light,0.08294863
12,train,0.079557806
12,train,0.07647861
12,bus,0.074848756
12,bicycle,0.07252473
12,handbag,0.0672474
12,dog,0.06699001
12,truck,0.062215466
12,boat,0.061522305
12,handbag,0.055073023
12,traffic light,0.054081444
13,person,0.99943084
13,person,0.99867815
13,person,0.99223083
13,person,0.9463268
13,person,0.9324162
13,person,0.9077927
13,person,0.6302713
13,person,0.33975753
13,person,0.29469863
13,person,0.21245569
13,person,0.19744684
13,backpack,0.1748831
13,backpack,0.16492012
13,dog,0.15385543
13,bicycle,0.14771844
13,handbag,0.12256668
13,train,0.10119425
13,car,0.099459104
13,person,0.09558488
13,bus,0.09517148
13,train,0.08767913
13,person,0.08649055
13,truck,0.055296913
14,person,0.9992067
14,person,0.99851745
14,person,0.99114096
14,person,0.89621294
14,person,0.88399774
14,person,0.88142747
14,person,0.53538764
14,person,0.27096456
14,person,0.2346433
14,person,0.22122766
14,backpack,0.20905215
14,person,0.19058666
14,person,0.13956809
14,car,0.11194243
14,train,0.10066529
14,train,0.090545766
14,handbag,0.082567245
14,bus,0.0822171
14,dog,0.08205307
14,bicycle,0.08129902
14,handbag,0.08084184
14,bicycle,0.07581233
14,truck,0.069998875
14,person,0.06396794
14,backpack,0.05639652
14,person,0.055517673
14,bench,0.054031383
14,traffic light,0.050765898
15,person,0.99919957
15,person,0.9982509
15,person,0.99285936
15,person,0.89529175
15,person,0.85268486
15,person,0.85013306
15,person,0.31223497
15,sports ball,0.2688366
15,person,0.25138414
15,person,0.24132454
15,person,0.22421567
15,backpack,0.20086423
15,person,0.19799797
15,person,0.15027961
15,backpack,0.15025067
15,bicycle,0.13092576
15,person,0.10904134
15,handbag,0.09750345
15,train,0.09129469
15,person,0.08179157
15,train,0.080112614
15,handbag,0.076417364
15,car,0.074136905
15,person,0.06862392
15,backpack,0.066674456
15,boat,0.06575186
15,person,0.05695506
15,traffic light,0.0562795
15,bus,0.053652618
15,dog,0.050712116
16,person,0.99926
16,person,0.99817014
16,person,0.9935429
16,person,0.9235675
16,person,0.91173637
16,person,0.89826256
16,person,0.860914
16,potted plant,0.2810009
16,dog,0.1636153
16,backpack,0.15830515
16,person,0.15583225
16,person,0.14427687
16,person,0.13756055
16,person,0.13684742
16,person,0.13454942
16,train,0.13124698
16,backpack,0.12875916
16,bicycle,0.1198667
16,person,0.11136348
16,handbag,0.111132406
16,bicycle,0.09867923
16,train,0.09516944
16,person,0.093262725
16,train,0.090580024
16,tennis racket,0.08151429
16,handbag,0.078466885
16,person,0.06296793
16,car,0.06121184
16,traffic light,0.060544074
16,boat,0.05469541
16,traffic light,0.052583806
16,person,0.051601496
17,person,0.99919266
17,person,0.99790514
17,person,0.99101603
17,person,0.9603935
17,person,0.92047244
17,person,0.9116263
17,person,0.66084844
17,dog,0.27648678
17,person,0.22480434
17,backpack,0.21900323
17,bicycle,0.19721413
17,backpack,0.16699564
17,person,0.1412109
17,potted plant,0.13244587
17,person,0.12840573
17,person,0.12406321
17,train,0.11899813
17,train,0.10185704
17,person,0.10149892
17,person,0.097064026
17,train,0.09423879
17,tennis racket,0.065952554
17,person,0.063188285
17,backpack,0.053785082
17,handbag,0.05341114
17,backpack,0.053298842
17,boat,0.051403757
17,boat,0.05036835
18,person,0.9991032
18,person,0.99723685
18,person,0.9937894
18,person,0.987357
18,person,0.9099339
18,person,0.9004317
18,person,0.6771068
18,person,0.30122867
18,person,0.26146004
18,person,0.20905475
18,person,0.17082645
18,dog,0.14037548
18,person,0.13454875
18,person,0.13371691
18,person,0.13291846
18,person,0.12987767
18,train,0.12789191
18,person,0.112494506
18,person,0.10467031
18,train,0.099969655
18,person,0.09703988
18,handbag,0.0933172
18,backpack,0.074696094
18,boat,0.070077084
18,traffic light,0.06943449
18,person,0.06799994
18,person,0.063116916
18,bicycle,0.059032522
18,boat,0.05479389
18,boat,0.054375205
18,traffic light,0.052430596
18,handbag,0.05107043
19,person,0.9997439
19,person,0.99741143
19,person,0.99319047
19,person,0.98745465
19,person,0.8924014
19,person,0.85274893
19,person,0.79707795
19,person,0.31824422
19,person,0.31137115
19,person,0.28589946
19,person,0.22823176
19,person,0.20141625
19,person,0.20028864
19,person,0.19255894
19,bicycle,0.18959093
19,bicycle,0.18719624
19,person,0.16710362
19,boat,0.15995434
19,person,0.14590642
19,person,0.13594729
19,train,0.13562597
19,dog,0.108895235
19,backpack,0.10764895
19,train,0.104515895
19,suitcase,0.098697044
19,handbag,0.09328004
19,handbag,0.09145882
19,handbag,0.078098
19,traffic light,0.07758912
19,bicycle,0.072467014
19,boat,0.0710618
19,person,0.07006919
19,boat,0.069871254
19,traffic light,0.0607718
19,person,0.05934291
19,handbag,0.051361043
19,boat,0.05042404
20,person,0.9996928
20,person,0.9979539
20,person,0.99226767
20,person,0.9894148
20,person,0.88053024
20,person,0.875037
20,person,0.695925
20,person,0.6159829
20,person,0.34958592
20,person,0.31082547
20,person,0.20092994
20,dog,0.19481355
20,person,0.17389068
20,person,0.17383575
20,bicycle,0.1458528
20,train,0.1457114
20,person,0.14328918
20,person,0.13567619
20,train,0.108886376
20,handbag,0.084797844
20,person,0.084437564
20,boat,0.08306335
20,person,0.0807861
20,person,0.08007385
20,traffic light,0.0732593
20,boat,0.07026779
20,person,0.059671085
20,person,0.057181124
20,traffic light,0.05503359
21,person,0.9997205
21,person,0.9978028
21,person,0.9884384
21,person,0.98569334
21,person,0.86786944
21,person,0.86764205
21,person,0.6753907
21,person,0.55848277
21,person,0.46689504
21,person,0.24637206
21,boat,0.20952013
21,person,0.20550993
21,person,0.19134115
21,person,0.18898244
21,person,0.18666717
21,person,0.17651673
21,train,0.168724
21,backpack,0.16430399
21,person,0.16213192
21,person,0.15289354
21,train,0.14610502
21,dog,0.12684873
21,person,0.11489399
21,bicycle,0.10272282
21,person,0.101078704
21,person,0.08861631
21,train,0.08496524
21,traffic light,0.07849055
21,boat,0.073058985
21,boat,0.07197509
21,person,0.06688721
21,person,0.058040317
21,backpack,0.05691627
21,traffic light,0.05173391
22,person,0.9996674
22,person,0.998014
22,person,0.99405104
22,person,0.98703545
22,person,0.8581281
22,person,0.85804737
22,person,0.713142
22,person,0.5904386
22,person,0.5069824
22,person,0.36208746
22,person,0.35432723
22,person,0.32862225
22,person,0.28417563
22,person,0.22932114
22,person,0.211682
22,train,0.20975077
22,person,0.1660375
22,person,0.15387246
22,train,0.14099658
22,person,0.13938817
22,backpack,0.12748723
22,handbag,0.12335606
22,person,0.105030105
22,person,0.09118783
22,bicycle,0.08555908
22,traffic light,0.0802387
22,train,0.06992437
22,person,0.066022046
22,traffic light,0.06338146
22,person,0.059360173
22,backpack,0.05281788
22,person,0.05085177
22,dog,0.05053936
23,person,0.9997398
23,person,0.99748707
23,person,0.9923569
23,person,0.98504424
23,person,0.8761184
23,person,0.85554266
23,person,0.72978675
23,person,0.7186819
23,person,0.58231986
23,person,0.48624977
23,backpack,0.45308053
23,person,0.43091878
23,person,0.38013458
23,person,0.35679913
23,person,0.32391125
23,person,0.2418616
23,train,0.2218901
23,person,0.20090063
23,handbag,0.19569407
23,person,0.17779149
23,backpack,0.17263916
23,train,0.147043
23,boat,0.11864327
23,person,0.0944391
23,bicycle,0.08700917
23,traffic light,0.08563137
23,train,0.073150724
23,car,0.0692943
23,person,0.06419027
23,dog,0.06179469
23,traffic light,0.061295763
23,person,0.057586685
23,person,0.056612216
23,boat,0.0548383
23,person,0.054735024
23,bicycle,0.05136294
24,person,0.99966955
24,person,0.99746585
24,person,0.9895244
24,person,0.9829527
24,person,0.8659422
24,person,0.83953446
24,person,0.82036936
24,person,0.7134942
24,backpack,0.6906711
24,person,0.59380937
24,person,0.57558775
24,backpack,0.4410067
24,person,0.36480555
24,person,0.35574716
24,train,0.29640257
24,person,0.27612063
24,backpack,0.26797518
24,train,0.14892
24,person,0.13815211
24,person,0.12504724
24,person,0.118616216
24,backpack,0.11517069
24,person,0.111837454
24,person,0.10484825
24,person,0.10471484
24,person,0.10442864
24,train,0.09942002
24,traffic light,0.08554894
24,person,0.08520635
24,person,0.082616
24,traffic light,0.08198346
24,train,0.07431808
24,potted plant,0.070966244
24,dog,0.0679008
24,person,0.060082268
24,handbag,0.058009006
24,boat,0.055497635
24,traffic light,0.050279148
25,person,0.99977666
25,person,0.9967422
25,person,0.9899995
25,person,0.9810373
25,person,0.8425098
25,person,0.81873006
25,person,0.7780559
25,person,0.68148595
25,person,0.6799485
25,person,0.6763398
25,backpack,0.5930822
25,person,0.46318606
25,backpack,0.3838289
25,backpack,0.3099029
25,backpack,0.2955967
25,train,0.22298767
25,person,0.21768239
25,train,0.18935214
25,person,0.17944925
25,dog,0.1512125
25,person,0.1353057
25,backpack,0.13417615
25,person,0.10115814
25,traffic light,0.096183494
25,train,0.09467282
25,train,0.09057731
25,handbag,0.08401243
25,person,0.083891004
25,person,0.08267957
25,person,0.07735918
25,person,0.07279646
25,boat,0.07206244
25,person,0.068926595
25,person,0.06807966
25,person,0.055223353
25,person,0.055051416
25,boat,0.052466463
25,car,0.05098427
26,person,0.9997069
26,person,0.99689424
26,person,0.9948549
26,person,0.9734148
26,person,0.9060917
26,person,0.7641009
26,person,0.7542831
26,person,0.57691586
26,person,0.53525263
26,backpack,0.48936728
26,person,0.45201883
26,backpack,0.23277117
26,person,0.22332458
26,train,0.18666214
26,person,0.18050319
26,person,0.14591682
26,backpack,0.13689579
26,traffic light,0.12227491
26,person,0.09744863
26,train,0.094529495
26,person,0.091718145
26,train,0.09161378
26,person,0.08155482
26,person,0.079156026
26,person,0.07521374
26,person,0.07454812
26,person,0.069638684
26,boat,0.069450915
26,person,0.06320591
26,train,0.061406363
26,car,0.05936959
26,traffic light,0.05535517
26,boat,0.055082515
27,person,0.9995678
27,person,0.9970366
27,person,0.9899616
27,person,0.9724868
27,person,0.90203327
27,person,0.73481464
27,person,0.70115685
27,person,0.6128711
27,backpack,0.5749289
27,person,0.47421172
27,person,0.3866019
