Frame,Object,Confidence
1,person,0.8868203163146973
1,person,0.8855260014533997
1,person,0.8793144822120667
1,chair,0.8610630631446838
1,handbag,0.8302835822105408
1,chair,0.7552541494369507
1,person,0.7325823307037354
1,person,0.7207594513893127
1,person,0.7155183553695679
1,potted plant,0.7136470079421997
1,handbag,0.6196616888046265
1,handbag,0.5991714000701904
1,chair,0.5548782348632812
1,person,0.5382382869720459
1,chair,0.5110015273094177
1,person,0.45861566066741943
1,person,0.4441911280155182
1,person,0.44134992361068726
1,person,0.43061938881874084
1,chair,0.3888095021247864
1,dining table,0.33371248841285706
1,handbag,0.3013644516468048
1,person,0.2688976526260376
1,person,0.26791486144065857
1,person,0.26004558801651
1,person,0.25079503655433655
2,person,0.9046164751052856
2,person,0.8925101161003113
2,person,0.8789894580841064
2,chair,0.8201737403869629
2,handbag,0.7751086354255676
2,person,0.7633511424064636
2,person,0.7495971918106079
2,person,0.7454541325569153
2,chair,0.6680919528007507
2,handbag,0.6580334901809692
2,person,0.6404399871826172
2,chair,0.6351263523101807
2,person,0.6129074096679688
2,person,0.5107682943344116
2,person,0.49503642320632935
2,potted plant,0.4676850140094757
2,person,0.4513013958930969
2,handbag,0.42308786511421204
2,chair,0.4200070798397064
2,handbag,0.3671495318412781
2,handbag,0.35754168033599854
2,dining table,0.356563925743103
2,handbag,0.31167250871658325
2,chair,0.29679855704307556
2,person,0.2894737124443054
2,person,0.2767138183116913
2,chair,0.2686321437358856
2,person,0.25398820638656616
3,person,0.9039006233215332
3,person,0.8985323309898376
3,person,0.892631471157074
3,chair,0.8536129593849182
3,handbag,0.8255250453948975
3,person,0.7914784550666809
3,person,0.7432904839515686
3,chair,0.7407680153846741
3,person,0.7397469878196716
3,handbag,0.669971764087677
3,handbag,0.585612952709198
3,chair,0.584230899810791
3,person,0.5751250386238098
3,person,0.5596134066581726
3,person,0.5482825040817261
3,handbag,0.44570061564445496
3,potted plant,0.38517677783966064
3,dining table,0.351663202047348
3,person,0.3325636386871338
3,chair,0.31976720690727234
3,person,0.31196385622024536
3,potted plant,0.3005753457546234
3,person,0.27983859181404114
3,person,0.2643336057662964
4,person,0.9046241641044617
4,person,0.8973720669746399
4,person,0.8610918521881104
4,chair,0.7822984457015991
4,person,0.7768114805221558
4,chair,0.7349227070808411
4,person,0.7339307069778442
4,person,0.7307556867599487
4,handbag,0.6655198931694031
4,chair,0.6232584118843079
4,potted plant,0.5997866988182068
4,handbag,0.5619640946388245
4,person,0.5586265921592712
4,person,0.5516870021820068
4,person,0.4908481240272522
4,handbag,0.4842829704284668
4,handbag,0.4649072587490082
4,dining table,0.3994750678539276
4,person,0.3227846324443817
4,person,0.28859972953796387
4,dining table,0.2849056124687195
4,person,0.26873156428337097
5,person,0.9044586420059204
5,person,0.900888204574585
5,person,0.8684352040290833
5,chair,0.8257637023925781
5,person,0.7821572422981262
5,handbag,0.7564250826835632
5,person,0.7379299998283386
5,person,0.7274543046951294
5,handbag,0.7208222150802612
5,chair,0.6606345772743225
5,person,0.5762283205986023
5,person,0.5504453778266907
5,chair,0.544955849647522
5,person,0.4963739812374115
5,person,0.4847002327442169
5,handbag,0.4381857216358185
5,potted plant,0.4368388056755066
5,dining table,0.3776727020740509
5,handbag,0.373857319355011
5,person,0.3071165680885315
6,person,0.9045847654342651
6,person,0.9007083177566528
6,person,0.8691710829734802
6,chair,0.8293120861053467
6,person,0.7948599457740784
6,person,0.7898780107498169
6,person,0.7835808992385864
6,potted plant,0.6998856067657471
6,handbag,0.6989262700080872
6,handbag,0.6837023496627808
6,person,0.6553933620452881
6,handbag,0.6444119811058044
6,chair,0.5730205178260803
6,person,0.5647205114364624
6,person,0.5100314617156982
6,chair,0.47153863310813904
6,handbag,0.42465078830718994
6,person,0.3115657567977905
7,person,0.8934199213981628
7,person,0.8907482028007507
7,chair,0.8528088927268982
7,person,0.8465114235877991
7,person,0.8013683557510376
7,person,0.7881328463554382
7,person,0.7555322647094727
7,handbag,0.727125346660614
7,handbag,0.6754481792449951
7,person,0.6432673931121826
7,handbag,0.6032440662384033
7,chair,0.5919886231422424
7,person,0.5786495804786682
7,chair,0.5454065799713135
7,potted plant,0.5175261497497559
7,person,0.5110036134719849
7,handbag,0.41307222843170166
7,person,0.28509634733200073
7,person,0.25738629698753357
7,dining table,0.25362300872802734
8,person,0.9029378890991211
8,person,0.8807245492935181
8,chair,0.8385141491889954
8,person,0.8333391547203064
8,person,0.7719016075134277
8,person,0.7699226140975952
8,person,0.7416700124740601
8,handbag,0.7208580374717712
8,handbag,0.7093629837036133
8,potted plant,0.6248850226402283
8,person,0.5418280363082886
8,handbag,0.5291866660118103
8,person,0.5120787024497986
8,chair,0.4434681534767151
8,chair,0.4015246629714966
8,handbag,0.36079803109169006
8,person,0.30207353830337524
9,person,0.9054183959960938
9,person,0.9029941558837891
9,chair,0.82008296251297
9,person,0.8109571933746338
9,person,0.8023541569709778
9,handbag,0.7615243196487427
9,chair,0.7592975497245789
9,person,0.7459408044815063
9,person,0.7155458927154541
9,handbag,0.7059957385063171
9,handbag,0.6395227909088135
9,potted plant,0.6260938048362732
9,person,0.522993803024292
9,person,0.5070199370384216
9,handbag,0.3400039076805115
9,person,0.33206215500831604
9,handbag,0.31941384077072144
9,person,0.31921112537384033
9,chair,0.2637014091014862
10,person,0.9068161249160767
10,person,0.893360435962677
10,chair,0.8310196399688721
10,person,0.8254582285881042
10,person,0.7871087193489075
10,person,0.7754484415054321
10,person,0.7509227395057678
10,handbag,0.7301189303398132
10,person,0.7294842004776001
10,handbag,0.694057285785675
10,handbag,0.6727784276008606
10,chair,0.6721785664558411
10,potted plant,0.5798414349555969
10,person,0.5465684533119202
10,chair,0.42252489924430847
