Frame,Object,Confidence
1,car,0.9234274625778198
1,car,0.8924959897994995
1,car,0.8880696296691895
1,car,0.8858157396316528
1,car,0.8850137591362
1,car,0.8570771217346191
1,car,0.8533048033714294
1,bus,0.824184238910675
1,car,0.8012553453445435
1,car,0.7439243197441101
1,car,0.7361419200897217
1,car,0.726117730140686
1,car,0.6729824542999268
1,car,0.5975865721702576
1,person,0.5921783447265625
1,car,0.5753708481788635
1,car,0.5253310203552246
1,car,0.4653070569038391
1,motorcycle,0.4592421352863312
1,motorcycle,0.4537803828716278
1,car,0.40975141525268555
1,car,0.3306875228881836
1,car,0.31767013669013977
2,car,0.9237151145935059
2,car,0.8917121291160583
2,car,0.8894523978233337
2,car,0.8844051957130432
2,car,0.8831216096878052
2,car,0.849677562713623
2,bus,0.8276656270027161
2,car,0.8139742612838745
2,car,0.785890519618988
2,car,0.7549434304237366
2,car,0.7361850738525391
2,car,0.730631411075592
2,car,0.6975407004356384
2,car,0.6059860587120056
2,person,0.563585102558136
2,motorcycle,0.5068371891975403
2,car,0.4874286949634552
2,car,0.4703916311264038
2,car,0.4477249085903168
2,car,0.40795931220054626
2,motorcycle,0.3621074855327606
2,car,0.35465502738952637
2,car,0.32946524024009705
2,person,0.314378947019577
3,car,0.9235784411430359
3,car,0.8905859589576721
3,car,0.8889448642730713
3,car,0.882564127445221
3,car,0.8754631876945496
3,car,0.8482581377029419
3,car,0.8163237571716309
3,bus,0.7965491414070129
3,car,0.77555251121521
3,car,0.7752341628074646
3,car,0.7376365065574646
3,car,0.7287110090255737
3,car,0.6774069666862488
3,car,0.6184584498405457
3,person,0.5863409638404846
3,motorcycle,0.5486326217651367
3,car,0.5396000146865845
3,car,0.4901371896266937
3,car,0.48287439346313477
3,car,0.46955472230911255
3,motorcycle,0.4399515390396118
3,car,0.3396288752555847
3,person,0.3172578811645508
3,car,0.3066750466823578
3,car,0.2703436315059662
4,car,0.9236680269241333
4,car,0.8921071290969849
4,car,0.8900731801986694
4,car,0.8832026720046997
4,car,0.881277859210968
4,car,0.8565661311149597
4,car,0.8169140219688416
4,bus,0.7980545163154602
4,car,0.7853647470474243
4,car,0.7713296413421631
4,car,0.7561508417129517
4,car,0.735675573348999
4,car,0.7109867334365845
4,car,0.6477897763252258
4,motorcycle,0.6194883584976196
4,person,0.6006725430488586
4,car,0.5441041588783264
4,motorcycle,0.4945070445537567
4,car,0.4820495545864105
4,car,0.4610585570335388
4,car,0.41954460740089417
4,car,0.3475033938884735
4,car,0.3017115592956543
4,person,0.297841876745224
4,car,0.287716805934906
5,car,0.924527645111084
5,car,0.8922068476676941
5,car,0.8893005847930908
5,car,0.8866758346557617
5,car,0.8824134469032288
5,car,0.861528217792511
5,car,0.8506696224212646
5,bus,0.7794613838195801
5,car,0.778692901134491
5,car,0.7639386653900146
5,car,0.7542710900306702
5,car,0.7461440563201904
5,car,0.7019273042678833
5,motorcycle,0.6204700469970703
5,car,0.6154012084007263
5,car,0.6109228134155273
5,car,0.5440490245819092
5,motorcycle,0.5223796963691711
5,car,0.45798295736312866
5,car,0.44956299662590027
5,person,0.4170640707015991
5,person,0.30831417441368103
5,car,0.2911022901535034
5,car,0.28704240918159485
5,car,0.28256240487098694
6,car,0.9239407777786255
6,car,0.8926365971565247
6,car,0.8923447132110596
6,car,0.8914226293563843
6,car,0.887704074382782
6,car,0.8519023060798645
6,car,0.8264324069023132
6,bus,0.800675630569458
6,car,0.7767385840415955
6,car,0.7630552053451538
6,car,0.7547941207885742
6,car,0.7397500872612
6,car,0.6877688765525818
6,car,0.6857472658157349
6,car,0.6108548641204834
6,person,0.5796792507171631
6,car,0.5391799211502075
6,motorcycle,0.5358496904373169
6,car,0.5196112990379333
6,car,0.4287446141242981
6,person,0.4263922870159149
6,motorcycle,0.3300086259841919
6,car,0.2970370352268219
6,car,0.2620740830898285
6,car,0.26158249378204346
7,car,0.9246891736984253
7,car,0.8920555114746094
7,car,0.8905355334281921
7,car,0.8896504044532776
7,car,0.8846074938774109
7,car,0.8290318250656128
7,car,0.8119730949401855
7,car,0.772354006767273
7,car,0.7587058544158936
7,bus,0.7519435882568359
7,car,0.7494626045227051
7,car,0.7049328088760376
7,car,0.6934875845909119
7,car,0.6565912365913391
7,car,0.5932533144950867
7,person,0.5760900378227234
7,motorcycle,0.5551556944847107
7,car,0.5264550447463989
7,car,0.5248622894287109
