Frame Number,Object,Confidence Score
1,bus,0.75783676
1,person,0.71715856
1,car,0.6633572
1,car,0.6490212
1,truck,0.6049642
1,car,0.5945875
1,car,0.590747
1,person,0.57929224
1,car,0.57872295
1,traffic light,0.57051414
1,car,0.53998625
1,traffic light,0.536702
1,person,0.5341115
1,car,0.53177017
1,car,0.5261846
1,handbag,0.5192834
1,truck,0.5190417
1,car,0.5120165
1,handbag,0.506926
1,car,0.50603276
1,car,0.5046869
1,car,0.49903414
1,bus,0.49407318
1,bus,0.48976433
1,person,0.48658213
1,traffic light,0.48330742
1,car,0.48107648
1,person,0.47816664
1,car,0.47711995
1,person,0.47252354
1,car,0.46297294
1,backpack,0.46175474
1,person,0.45713174
1,car,0.4547866
1,traffic light,0.45397115
1,truck,0.453441
1,car,0.45299676
1,car,0.4525547
1,person,0.45053458
1,car,0.44835457
1,car,0.44592416
1,train,0.43879566
1,car,0.42752424
1,traffic light,0.42141965
1,person,0.407115
1,bus,0.40629527
1,person,0.403457
1,truck,0.4032958
1,car,0.402681
1,backpack,0.40160424
1,car,0.3985567
1,person,0.3971263
1,person,0.39441642
1,car,0.3916141
1,handbag,0.38625267
1,car,0.3837619
1,motorcycle,0.38351548
1,car,0.38056362
1,car,0.38050687
1,truck,0.37827447
1,potted plant,0.37450743
1,motorcycle,0.37328368
1,truck,0.3722719
1,car,0.36841092
1,person,0.3681802
1,car,0.3658268
1,traffic light,0.3646895
1,car,0.36459604
1,car,0.36374924
1,car,0.3632432
1,car,0.3627124
1,motorcycle,0.36258876
1,car,0.36213288
1,person,0.361878
1,car,0.36154062
1,bus,0.36021033
1,person,0.35968935
1,car,0.35959002
1,handbag,0.3584723
1,person,0.3575671
1,car,0.35753784
1,motorcycle,0.35562044
1,bus,0.3519267
1,car,0.35135528
1,truck,0.34953886
1,person,0.34683558
1,bus,0.34276178
1,person,0.34219328
1,car,0.3411303
1,car,0.33979008
1,person,0.33924422
1,motorcycle,0.33845794
1,car,0.33733612
1,person,0.33654156
1,person,0.33539194
1,person,0.3341203
1,car,0.33402297
1,truck,0.33378562
1,umbrella,0.33369878
1,person,0.333098
2,bus,0.75794387
2,person,0.7171942
2,car,0.6631218
2,car,0.64885074
2,truck,0.60504085
2,car,0.5942461
2,car,0.5909153
2,person,0.57915646
2,car,0.57875305
2,traffic light,0.5703909
2,car,0.5397571
2,traffic light,0.5368259
2,person,0.5343818
2,car,0.5313632
2,car,0.526254
2,truck,0.51946735
2,handbag,0.5191965
2,car,0.512018
2,handbag,0.5068304
2,car,0.50593734
2,car,0.50467086
2,car,0.49897158
2,bus,0.49377617
2,bus,0.48973
2,person,0.48639494
2,traffic light,0.48329034
2,car,0.4806783
2,person,0.47823164
2,car,0.47704732
2,person,0.47257537
2,car,0.4629083
2,backpack,0.46165535
2,person,0.45700043
2,car,0.45472446
2,traffic light,0.45392472
2,truck,0.45359546
2,car,0.45296496
2,car,0.45244542
2,person,0.45064712
2,car,0.4481532
2,car,0.44586816
2,train,0.43872014
2,car,0.4273595
2,traffic light,0.42146584
2,person,0.40702844
2,bus,0.40654522
2,person,0.40338978
2,truck,0.40311632
2,car,0.40259188
2,backpack,0.4015602
2,car,0.39861584
2,person,0.39716458
2,person,0.39464805
2,car,0.39151153
2,handbag,0.38634807
2,car,0.3837067
2,motorcycle,0.38350496
2,car,0.3807706
2,car,0.38042203
2,truck,0.3785946
2,potted plant,0.37436748
2,motorcycle,0.3731573
2,truck,0.37211084
2,car,0.36851206
2,person,0.36843494
2,car,0.3656243
2,traffic light,0.36516678
2,car,0.3644181
2,car,0.3635474
2,car,0.36352685
2,car,0.36273178
2,motorcycle,0.362632
2,car,0.3619767
2,person,0.36195362
2,car,0.3613547
2,bus,0.36027503
2,person,0.35978454
2,car,0.35943544
2,handbag,0.3585875
2,person,0.35781205
2,car,0.35768288
2,motorcycle,0.3561396
2,bus,0.35152474
2,car,0.35119882
2,truck,0.3494708
2,person,0.34683096
2,bus,0.342777
2,person,0.34177214
2,car,0.3412299
2,car,0.33993044
2,person,0.33952466
2,motorcycle,0.33854574
2,car,0.33736318
2,person,0.3368184
2,person,0.33537033
2,person,0.33429435
2,car,0.33388156
2,truck,0.3335696
2,umbrella,0.33342186
2,person,0.33289182
3,bus,0.791386
3,person,0.700819
3,car,0.655359
3,car,0.6484826
3,car,0.58825505
3,car,0.5804085
3,truck,0.5742022
3,car,0.5738153
3,car,0.54513204
3,traffic light,0.5444278
3,car,0.5403727
3,car,0.536381
3,traffic light,0.53567684
3,person,0.53022414
3,truck,0.5249687
3,person,0.5168328
3,car,0.51506156
3,car,0.5139428
3,car,0.51352173
3,car,0.5047602
3,person,0.504216
3,handbag,0.5038851
3,person,0.49441066
3,car,0.48018616
3,traffic light,0.47542992
3,car,0.47292492
3,car,0.47161743
3,handbag,0.47008467
3,bus,0.45891592
3,car,0.4587489
3,car,0.45863244
3,backpack,0.45462433
3,car,0.45111594
3,bus,0.44854596
3,car,0.4458178
3,car,0.44457707
3,person,0.43931976
3,car,0.43695554
3,car,0.4347049
3,car,0.43346873
3,person,0.43334815
3,truck,0.42788365
3,car,0.4247955
3,car,0.41449797
3,traffic light,0.40915227
3,person,0.4007443
3,car,0.3987324
3,potted plant,0.39785346
3,truck,0.39652842
3,train,0.395366
3,person,0.39199588
3,truck,0.3891516
3,car,0.38876963
3,traffic light,0.38826454
3,truck,0.38724554
3,car,0.38643333
3,car,0.38616422
3,person,0.38345551
3,truck,0.38102806
3,person,0.38082656
3,traffic light,0.3807046
3,handbag,0.37853652
3,car,0.374727
3,car,0.3739278
3,person,0.3710561
3,car,0.36735073
3,car,0.3666116
3,car,0.36379412
3,car,0.36367187
3,car,0.3612238
3,motorcycle,0.3588648
3,person,0.35720548
3,car,0.35626698
3,car,0.35444593
3,truck,0.3540361
3,car,0.35375664
3,bus,0.35225525
3,car,0.3493778
3,person,0.34844193
3,bus,0.34656212
3,car,0.3461378
3,person,0.34503865
3,car,0.3449389
3,person,0.3445068
3,bus,0.34213874
3,bus,0.34163627
3,person,0.34125906
3,motorcycle,0.33990416
3,car,0.3372815
3,car,0.33674535
3,truck,0.33620268
3,truck,0.33608374
3,bus,0.33561927
3,traffic light,0.33152482
3,car,0.33123338
3,backpack,0.33118
3,person,0.33026043
3,person,0.33018562
3,truck,0.32929724
3,car,0.32846612
4,bus,0.7513918
4,person,0.7320837
4,car,0.67045254
4,car,0.6478654
4,car,0.6008298
4,car,0.5941238
4,car,0.58823043
4,car,0.58511275
4,truck,0.5437938
4,handbag,0.5405076
4,car,0.5399397
4,traffic light,0.5373266
4,car,0.53615576
4,car,0.53121966
4,truck,0.52603817
4,car,0.52572143
4,car,0.5155192
4,backpack,0.51400787
4,car,0.51204437
4,handbag,0.50827765
4,car,0.50421804
4,traffic light,0.49746266
4,person,0.49457312
4,person,0.49322104
4,truck,0.4856073
4,car,0.48495206
4,car,0.4746757
4,car,0.46981257
4,person,0.4664712
4,car,0.46432957
4,person,0.4620174
4,car,0.45792443
4,traffic light,0.45477903
4,car,0.4525666
4,bus,0.44273496
4,person,0.4402898
4,car,0.4365845
4,car,0.4357296
4,car,0.43454313
4,car,0.43381214
4,bus,0.4326103
4,car,0.4317778
4,potted plant,0.4233207
4,truck,0.41766447
4,person,0.41673705
4,car,0.4164718
4,train,0.40710965
4,car,0.40375
4,car,0.3967985
4,handbag,0.396767
4,traffic light,0.39488724
4,traffic light,0.39284083
4,person,0.39237273
4,truck,0.39185232
4,car,0.39156926
4,person,0.39020348
4,car,0.38957113
4,car,0.38824043
4,car,0.38709402
4,truck,0.38484204
4,car,0.3819581
4,car,0.379899
4,person,0.37785769
4,car,0.37673956
4,truck,0.37567782
4,truck,0.37220123
4,bus,0.37160173
4,car,0.3689514
4,person,0.36530292
4,car,0.36511594
4,handbag,0.36117885
4,car,0.35979602
4,car,0.35750324
4,traffic light,0.35671967
4,car,0.35367456
4,car,0.35332322
4,car,0.3530301
4,car,0.35300204
4,car,0.35216337
4,bus,0.35174432
4,person,0.35133055
4,bus,0.34941253
4,car,0.3489117
4,truck,0.34887436
4,motorcycle,0.34600538
4,car,0.34364372
4,truck,0.34338027
4,backpack,0.34326884
4,handbag,0.3426952
4,truck,0.34183866
4,bus,0.34124178
4,truck,0.33737215
4,person,0.33462524
4,person,0.33354256
4,person,0.3327217
4,car,0.33192647
4,person,0.32925373
4,car,0.32777587
4,person,0.32752246
4,car,0.32707804
5,bus,0.7719076
5,person,0.7140812
5,car,0.6504767
5,car,0.62950426
5,car,0.5990369
5,car,0.5928619
5,car,0.57302254
5,truck,0.56898224
5,car,0.5587205
5,traffic light,0.55779296
5,car,0.5453658
5,handbag,0.54031765
5,car,0.53927
5,car,0.5373343
5,truck,0.5350027
5,car,0.5298298
5,traffic light,0.5268226
5,car,0.52060574
5,car,0.5199492
5,backpack,0.5074217
5,person,0.4954439
5,person,0.48737785
5,handbag,0.48614576
5,person,0.48575285
5,car,0.48352408
5,car,0.48060104
5,truck,0.47786993
5,car,0.47734404
5,car,0.4763473
5,person,0.47444806
5,person,0.46071416
5,traffic light,0.45245624
5,car,0.45228517
5,car,0.45180348
5,car,0.45090732
5,person,0.44246775
5,car,0.43549934
5,car,0.43539846
5,bus,0.4330405
5,car,0.4319455
5,car,0.43192327
5,car,0.42897972
5,potted plant,0.4188115
5,car,0.40951505
5,bus,0.40692958
5,car,0.40358657
5,bus,0.40134108
5,car,0.40114963
5,traffic light,0.3997137
5,person,0.39814574
5,traffic light,0.39506802
5,person,0.394544
5,car,0.3931898
5,person,0.39113745
5,car,0.38490903
5,handbag,0.38277
5,car,0.38044077
5,truck,0.38033187
5,bus,0.37640575
5,car,0.37619
5,person,0.37334338
5,person,0.37054652
5,truck,0.37016916
5,person,0.37014428
5,train,0.36988723
5,traffic light,0.36972415
5,car,0.36949563
5,car,0.36671975
5,truck,0.36640453
5,car,0.3659236
5,car,0.36385047
5,truck,0.36373582
5,person,0.36030126
5,car,0.3537031
5,motorcycle,0.353515
5,backpack,0.35036355
5,person,0.34920412
5,truck,0.34893626
5,truck,0.34596524
5,person,0.34498483
5,car,0.34300947
5,person,0.3416162
5,traffic light,0.34154335
5,bus,0.341207
5,car,0.33961567
5,person,0.33948818
5,person,0.3369717
5,bus,0.33686185
5,car,0.3362979
5,car,0.33577955
5,traffic light,0.3345914
5,car,0.33398676
5,person,0.3323539
5,motorcycle,0.33191234
5,truck,0.3316498
5,motorcycle,0.32885334
5,car,0.3253996
5,suitcase,0.3239968
5,car,0.32250264
5,person,0.32230702
6,bus,0.7988706
6,person,0.7149131
6,car,0.6455617
6,car,0.64360106
6,car,0.5992593
6,truck,0.5864461
6,car,0.57131016
6,car,0.5597333
6,car,0.5546559
6,car,0.5530677
6,traffic light,0.5439596
6,truck,0.53767383
6,car,0.53613824
6,traffic light,0.5350986
6,handbag,0.5314763
6,car,0.52904046
6,car,0.52807605
6,bus,0.51617473
6,car,0.50765365
6,car,0.5035954
6,backpack,0.5026224
6,car,0.4961953
6,person,0.49417928
6,person,0.49126533
6,person,0.48777792
6,car,0.4874552
6,person,0.48498115
6,person,0.47895858
6,car,0.47192597
6,truck,0.47048107
6,car,0.46307242
6,bus,0.4594681
6,person,0.4558188
6,car,0.4548119
6,car,0.45407048
6,handbag,0.44907156
6,car,0.43236884
6,car,0.4284386
6,bus,0.42758074
6,car,0.41884026
6,car,0.41780955
6,car,0.41554832
6,person,0.41258696
6,car,0.41118366
6,potted plant,0.4096056
6,traffic light,0.408841
6,traffic light,0.4075986
6,car,0.40542194
6,car,0.4011757
6,car,0.39852628
6,handbag,0.3960017
6,person,0.3919592
6,car,0.38655537
6,train,0.3770344
6,car,0.37124115
6,bus,0.36828455
6,car,0.36706418
6,motorcycle,0.36579937
6,car,0.36542946
6,person,0.36442357
6,truck,0.36424962
6,traffic light,0.3627284
6,person,0.36181784
6,truck,0.3610622
6,truck,0.35887495
6,person,0.35791013
6,bus,0.35740736
6,person,0.35679325
6,truck,0.355818
6,truck,0.3531066
6,person,0.35269955
6,car,0.35203445
6,person,0.35082442
6,truck,0.3506064
6,person,0.3495574
6,truck,0.34948972
6,person,0.34732237
6,car,0.34203225
6,car,0.33966088
6,car,0.33940703
6,person,0.33629525
6,person,0.3348634
6,truck,0.333953
6,handbag,0.32928088
6,person,0.3274167
6,car,0.32662812
6,person,0.32615677
6,car,0.32596692
6,traffic light,0.32576835
6,handbag,0.32381976
6,car,0.3230859
6,car,0.3224591
6,car,0.32196808
6,car,0.32109356
6,person,0.32079005
6,truck,0.32074142
6,motorcycle,0.32010004
6,car,0.3196581
6,bus,0.31793284
6,car,0.3150437
7,bus,0.79591554
7,person,0.67971545
7,car,0.6499745
7,car,0.6444316
7,truck,0.59394836
7,car,0.5919887
7,car,0.57927686
7,traffic light,0.5737143
7,traffic light,0.5700753
7,handbag,0.5658255
7,car,0.5640565
7,car,0.55522126
7,car,0.5493924
7,car,0.54466957
7,truck,0.5428076
7,car,0.5380788
7,car,0.5249206
7,person,0.5237475
7,person,0.5123099
7,bus,0.51131266
7,backpack,0.5087373
7,car,0.5007192
7,person,0.49623573
7,car,0.49362406
7,traffic light,0.48734728
7,person,0.48250896
7,car,0.48148176
7,car,0.47470874
7,car,0.46705854
7,person,0.46642107
7,car,0.46399736
7,car,0.46393976
7,bus,0.4631942
7,traffic light,0.46241775
7,person,0.46150318
7,truck,0.4592807
7,car,0.45397767
7,car,0.44667467
7,bus,0.44575205
7,handbag,0.43409327
7,car,0.42995018
7,car,0.42778838
7,person,0.4270791
7,train,0.41806197
7,traffic light,0.41645226
7,person,0.4124912
7,car,0.41191158
7,handbag,0.40380412
7,car,0.40249327
7,traffic light,0.40017447
7,car,0.39417005
7,car,0.3911507
7,car,0.38970518
7,truck,0.38558668
7,truck,0.38558432
7,car,0.38445514
7,car,0.3821379
7,car,0.3817074
7,person,0.38150778
7,car,0.3809304
7,car,0.37851617
7,bus,0.37473965
7,motorcycle,0.37213212
7,person,0.37167332
7,truck,0.37103674
7,potted plant,0.36988688
7,truck,0.3678994
7,person,0.36353794
7,person,0.36121607
7,person,0.3603773
7,person,0.3592013
7,car,0.35763538
7,car,0.35715184
7,car,0.3564883
7,truck,0.34763333
7,truck,0.34742695
7,person,0.34652585
7,person,0.34560272
7,car,0.34174767
7,truck,0.3416714
7,person,0.34160835
7,car,0.34022793
7,car,0.33939102
